theme,lane,names,listed,breadth,today,1w,1m,3m,6m,ytd,leader,unquoted
GPUs,Semis,8,8,100.0,2.05,11.79,12.73,2.08,115.07,92.25,CRDO,
CPUs,Semis,6,6,66.67,0.34,7.18,21.05,-1.34,94.02,96.8,QCOM,
Memory,Semis,6,6,100.0,0.86,11.0,13.88,-13.84,129.58,246.6,WDC,
HBM,Semis,6,6,100.0,1.0,8.31,11.3,-11.81,55.66,104.99,ASX,
NAND,Semis,3,3,100.0,0.65,8.8,17.78,-11.74,184.12,362.14,SNDK,
MLCC,Semis,6,6,100.0,1.93,5.55,5.83,-21.86,47.41,72.04,VPG,
Semi Testing,Semis,8,8,100.0,2.57,10.79,9.22,-9.93,55.94,121.16,AEHR,
Semi Equipment,Semis,11,11,100.0,2.75,10.64,0.97,-20.15,27.09,60.06,VECO,
Foundry,Semis,6,6,66.67,1.56,5.8,18.22,-6.73,90.48,129.12,TSEM,
Advanced Packaging,Semis,7,7,100.0,2.49,8.53,9.35,-12.46,38.72,88.08,TSEM,
Analog Semis,Semis,12,12,91.67,2.97,6.43,6.56,-12.69,34.52,54.93,ON,
Power Semis,Semis,10,10,100.0,3.01,8.56,2.67,-24.37,35.43,55.77,ON,
RF Semis,Semis,6,6,100.0,1.91,2.06,17.31,-2.11,45.09,42.26,QCOM,
Optical,Semis,10,10,90.0,2.79,7.87,3.29,-15.56,44.12,78.58,VIAV,
EDA Software,Semis,5,5,100.0,1.51,12.35,11.49,-9.0,40.99,62.66,PDFS,
PCB and EMS,Semis,7,7,85.71,0.93,7.99,10.53,-15.44,43.57,57.82,FLEX,
Connectors,Semis,7,7,85.71,1.4,4.69,2.64,-7.45,10.95,23.88,FN,
Semi Materials,Semis,7,7,100.0,2.27,9.58,3.09,-16.53,22.68,129.87,AXTI,
Robotics,AI,8,8,62.5,0.47,1.69,-0.62,4.47,12.48,10.19,TER,
Industrial Automation,AI,9,9,88.89,0.88,4.17,-0.45,3.91,19.31,22.0,IR,
Humanoid Robots,AI,6,6,33.33,0.01,-2.54,-5.19,-1.03,-7.55,-19.77,RR,
Agentic AI,AI,12,12,16.67,-1.05,-0.75,5.55,37.39,52.53,2.47,DDOG,
Edge AI,AI,10,10,90.0,2.46,7.79,12.83,-12.43,53.03,66.19,SYNA,
Routers,AI,10,10,30.0,0.62,-0.63,1.11,-3.71,33.69,54.52,VIAV,
Neoclouds,AI,9,9,0.0,-3.19,1.38,3.44,-16.89,30.33,41.17,GDS,
Hyperscalers,AI,6,6,50.0,-0.26,-1.05,3.16,11.91,19.74,-3.06,MSFT,
Data Center REITs,AI,3,3,0.0,-2.09,-2.19,-6.68,-9.64,6.52,27.09,DLR,
Data Center Power,AI,10,10,80.0,1.0,5.18,2.73,-13.77,9.02,42.5,TT,
Cybersecurity,AI,12,12,0.0,-5.56,-3.99,13.29,37.06,90.67,46.92,NET,
AI Servers,AI,7,7,71.43,1.91,2.63,11.73,17.9,80.73,90.03,DELL,
Autonomous Driving,AI,6,6,66.67,1.39,-2.07,-0.51,-2.75,12.37,-1.15,MBLY,
Drones,AI,8,8,25.0,-1.93,-6.06,-12.44,-4.45,-22.13,-26.28,RTX,
Quantum Computing,AI,8,8,62.5,0.41,1.52,1.34,-1.66,21.28,-10.41,MSFT,
GLP-1,Health,9,9,66.67,0.12,2.92,-7.66,2.82,4.38,-3.44,AMGN,
Medical Devices,Health,12,12,75.0,0.42,-1.01,-4.87,5.72,-4.21,-18.02,INSP,
Radiopharma,Health,6,6,100.0,0.72,-0.26,-3.63,-1.41,10.92,14.4,NVS,
Nuclear Power,Power,10,10,80.0,0.65,-3.13,-6.71,-17.91,-15.49,-14.68,NRG,
Independent Power,Power,6,6,100.0,1.2,-1.19,-4.51,-15.19,-12.4,-18.12,NRG,
Advanced Nuclear,Power,4,4,0.0,-0.4,-3.46,-16.24,-16.18,-22.04,-40.97,LEU,
Uranium,Power,8,8,37.5,0.12,-2.47,-23.01,-11.37,-22.74,-20.75,EU,
Grid Equipment,Power,10,10,70.0,0.58,4.94,2.95,-14.21,13.5,45.57,VRT,
LNG,Power,10,10,10.0,-1.61,-2.34,-0.64,7.79,-1.1,31.94,SHEL,
Solar,Power,10,10,70.0,1.13,-7.06,-12.41,-31.16,-27.67,-34.18,RUN,
Batteries,Materials,8,8,62.5,2.24,-1.71,-12.89,-29.35,-29.94,-31.64,STEM,
Copper,Materials,8,8,75.0,0.47,1.08,-9.42,13.14,28.07,29.77,ERO,
Rare Earths,Materials,5,5,20.0,-1.49,-1.77,-20.2,-19.17,-14.46,-8.84,UUUU,
Lithium,Materials,6,6,16.67,-1.98,-3.86,-20.23,-23.34,-20.33,-19.96,ALB,
Gold Miners,Materials,10,10,70.0,0.69,-4.45,-12.26,20.36,12.92,7.44,KGC,
Silver Miners,Materials,8,8,87.5,1.22,-5.36,-8.86,18.36,10.6,6.18,EXK,
Defense,Macro,12,12,58.33,-0.39,-2.84,-7.94,-1.98,-16.03,-13.63,HWM,
Space,Macro,10,10,60.0,0.54,2.08,1.35,-1.13,10.47,34.0,FLY,
Crypto Miners,Macro,9,9,0.0,-3.46,-0.02,7.04,-20.11,40.59,37.11,CIFR,
Crypto Equities,Macro,6,6,0.0,-2.67,7.15,8.99,28.39,30.46,7.19,HOOD,
Fintech,Macro,10,10,30.0,-0.35,0.51,-7.5,12.71,24.73,-14.46,PYPL,
Banks,Macro,10,10,90.0,1.19,-1.51,-6.17,-5.27,14.38,2.67,COF,
Regional Banks,Macro,10,10,100.0,1.41,-1.67,-5.96,-7.05,10.63,4.85,HBAN,
Insurance Brokers,Macro,7,7,100.0,1.28,-5.05,-15.09,1.23,-0.38,-17.15,RYAN,
Oil Producers,Macro,10,10,0.0,-1.7,-4.21,-1.26,14.2,-4.81,40.75,CVX,
Oil & Gas Midstream,Macro,8,8,0.0,-1.69,-3.45,-3.08,-3.46,-3.6,17.54,ET,
Marine Shipping,Macro,10,10,50.0,-0.03,-6.05,5.44,20.44,29.75,71.59,INSW,
Aerospace,Macro,10,10,80.0,0.64,0.13,-10.24,-11.85,3.61,5.34,GE,
Homebuilders,Macro,8,8,100.0,1.12,2.41,-7.76,-13.23,2.46,-5.66,SKY,
Travel,Macro,10,10,100.0,2.16,0.65,-12.11,-10.57,5.52,-4.41,BKNG,
Casinos,Macro,9,9,66.67,0.45,-4.06,-13.56,-15.09,-7.62,-19.27,DKNG,
Payments,Macro,9,9,77.78,1.17,-0.39,-8.67,12.04,11.15,-7.45,PYPL,
Reshoring,Macro,10,10,80.0,0.75,3.18,-1.25,-5.47,14.98,20.41,URI,
Water,Macro,9,9,66.67,0.73,-0.87,-6.23,-5.86,-2.72,-6.29,WMS,
Waste,Macro,6,6,16.67,-0.46,-2.9,-3.84,-2.38,2.11,-0.04,GFL,
Railroads,Macro,8,8,25.0,-0.12,-0.54,-7.56,-4.38,8.15,15.84,CNI,
Trucking,Macro,8,8,0.0,-1.72,-3.86,-9.67,-18.66,9.23,21.08,TFII,
Steel,Macro,7,7,42.86,-0.05,-3.53,1.15,4.94,35.7,26.29,CMC,
