theme,lane,names,listed,breadth,today,1w,1m,3m,6m,ytd,leader,unquoted
GPUs,Semis,8,8,50.0,-0.44,12.68,9.98,0.22,111.02,89.14,AMBA,
CPUs,Semis,6,6,33.33,-1.14,9.14,19.36,-1.66,94.13,97.27,INTC,
Memory,Semis,6,6,33.33,-1.5,12.88,11.97,-14.55,127.67,243.29,RMBS,
HBM,Semis,6,6,33.33,-0.68,9.73,9.02,-12.68,54.25,103.15,MU,
NAND,Semis,3,3,33.33,-1.06,12.03,14.53,-12.29,182.26,358.25,MU,
MLCC,Semis,6,6,33.33,-0.86,2.97,2.51,-23.17,44.41,68.58,CTS,
Semi Testing,Semis,8,8,25.0,-0.7,10.1,3.76,-12.35,50.72,113.52,NVMI,
Semi Equipment,Semis,11,11,9.09,-0.8,7.43,-2.54,-22.17,23.57,55.68,NVMI,
Foundry,Semis,6,6,50.0,-0.46,8.01,15.25,-7.89,89.13,127.09,INTC,
Advanced Packaging,Semis,7,7,0.0,-2.06,8.46,5.7,-14.55,35.34,83.57,ONTO,
Analog Semis,Semis,12,12,33.33,-0.2,4.47,3.91,-15.15,30.53,50.64,MTSI,
Power Semis,Semis,10,10,10.0,-1.1,5.58,-0.44,-26.51,31.54,51.43,ALGM,
RF Semis,Semis,6,6,16.67,-1.47,3.74,14.67,-3.98,42.4,39.94,MTSI,
Optical,Semis,10,10,50.0,0.05,5.97,0.17,-17.74,40.19,74.13,MTSI,
EDA Software,Semis,5,5,60.0,-0.16,11.82,10.29,-10.27,38.81,60.07,CDNS,
PCB and EMS,Semis,7,7,57.14,0.24,5.91,9.51,-16.08,42.2,56.2,CLS,
Connectors,Semis,7,7,28.57,-0.34,2.17,0.13,-8.52,9.63,22.34,APH,
Semi Materials,Semis,7,7,14.29,-0.8,8.01,1.84,-18.48,19.93,124.14,AXTI,
Robotics,AI,8,8,50.0,-0.05,1.05,-1.82,4.01,11.67,9.07,SERV,
Industrial Automation,AI,9,9,44.44,-0.39,2.36,-2.42,2.98,18.25,20.91,EMR,
Humanoid Robots,AI,6,6,33.33,0.01,-1.75,-3.28,-0.91,-7.59,-19.91,SERV,
Agentic AI,AI,12,12,33.33,-0.51,2.65,3.34,39.17,54.09,3.24,DDOG,
