theme,lane,names,listed,breadth,today,1w,1m,3m,6m,ytd,leader,unquoted
Edge AI,AI,10,10,30.0,-0.88,7.71,9.62,-14.5,50.32,63.64,INTC,
Routers,AI,10,10,50.0,-0.52,0.01,-0.13,-4.11,33.17,53.16,VIAV,
Neoclouds,AI,9,9,44.44,0.75,4.07,8.96,-14.2,34.75,45.91,NBIS,
Hyperscalers,AI,6,6,50.0,-0.09,0.29,4.91,12.13,19.98,-2.84,META,
Data Center REITs,AI,3,3,0.0,-0.47,-0.16,-4.4,-7.71,8.81,29.85,DLR,
Data Center Power,AI,10,10,80.0,0.39,1.67,-1.17,-14.63,7.98,41.21,MOD,
Cybersecurity,AI,12,12,25.0,-1.6,3.78,15.13,45.42,101.68,54.71,NET,
AI Servers,AI,7,7,57.14,-0.05,2.77,11.11,15.81,77.22,85.88,CLS,
Autonomous Driving,AI,6,6,33.33,-1.61,-3.08,-2.44,-4.02,10.99,-2.21,GOOGL,
Drones,AI,8,8,25.0,-0.81,-4.45,-11.82,-2.55,-20.53,-25.01,KTOS,
Quantum Computing,AI,8,8,62.5,1.41,4.21,0.29,-2.24,20.69,-10.88,IONQ,
GLP-1,Health,9,9,55.56,-1.3,2.48,-7.35,2.68,4.25,-3.61,LLY,
Medical Devices,Health,12,12,16.67,-0.77,-2.29,-6.67,5.23,-4.69,-18.36,ISRG,
Radiopharma,Health,6,6,83.33,0.76,-0.22,-5.24,-2.11,10.19,13.6,LLY,
Nuclear Power,Power,10,10,0.0,-1.1,-4.62,-7.28,-18.4,-16.01,-15.16,VST,
Independent Power,Power,6,6,16.67,-1.11,-3.19,-5.45,-16.11,-13.34,-19.02,AES,
Advanced Nuclear,Power,4,4,25.0,-1.59,2.61,-9.61,-15.86,-21.74,-40.74,NNE,
Uranium,Power,8,8,0.0,-3.24,-1.15,-18.06,-11.46,-22.8,-20.78,EU,
Grid Equipment,Power,10,10,70.0,0.16,2.12,-1.07,-14.75,12.86,44.74,PWR,
LNG,Power,10,10,60.0,0.01,-0.31,0.27,9.55,0.5,34.15,LNG,
Solar,Power,10,10,10.0,-3.58,-5.53,-14.49,-31.84,-28.43,-34.86,ARRY,
Batteries,Materials,8,8,37.5,-0.64,-2.18,-14.6,-30.47,-30.84,-32.37,STEM,
Copper,Materials,8,8,25.0,-0.41,1.21,-7.25,12.54,27.43,29.17,ERO,
Rare Earths,Materials,5,5,40.0,-0.02,0.25,-11.8,-17.9,-12.96,-7.28,CRML,
Lithium,Materials,6,6,0.0,-2.6,-1.53,-18.86,-21.86,-18.57,-18.37,SGML,
Gold Miners,Materials,10,10,0.0,-1.97,-5.47,-11.42,19.6,12.18,6.85,RGLD,
Silver Miners,Materials,8,8,0.0,-1.47,-4.34,-7.87,16.95,9.28,4.95,WPM,
Defense,Macro,12,12,25.0,-0.49,-3.28,-8.71,-1.49,-15.81,-13.45,KTOS,
Space,Macro,10,10,80.0,2.64,4.2,-1.57,-1.65,10.01,33.6,PL,
Crypto Miners,Macro,9,9,11.11,-1.69,4.56,14.69,-17.26,45.61,41.98,CORZ,
Crypto Equities,Macro,6,6,33.33,-0.92,14.19,17.11,31.75,33.86,10.21,CRCL,
Fintech,Macro,10,10,70.0,0.78,-0.01,-5.52,13.02,25.16,-14.27,AFRM,
Banks,Macro,10,10,60.0,-0.14,-3.93,-7.17,-6.39,13.03,1.48,TFC,
Regional Banks,Macro,10,10,60.0,0.08,-3.94,-7.23,-8.33,9.1,3.42,EWBC,
Insurance Brokers,Macro,7,7,14.29,-1.25,-7.79,-17.02,-0.04,-1.69,-18.15,RYAN,
Oil Producers,Macro,10,10,90.0,0.92,-1.28,-1.24,16.18,-3.17,43.19,FANG,
Oil & Gas Midstream,Macro,8,8,25.0,-0.55,-1.1,-1.71,-1.8,-1.94,19.58,OKE,
Marine Shipping,Macro,10,10,50.0,0.14,-5.09,4.18,20.48,29.8,71.62,INSW,
Aerospace,Macro,10,10,20.0,-0.54,-3.0,-10.62,-12.42,2.94,4.73,ATI,
Homebuilders,Macro,8,8,62.5,0.29,-1.15,-9.08,-14.23,1.29,-6.73,KBH,
Travel,Macro,10,10,80.0,1.02,-3.48,-13.99,-12.45,3.3,-6.36,RCL,
Casinos,Macro,9,9,33.33,-1.83,-6.71,-14.69,-15.54,-8.06,-19.47,BYD,
Payments,Macro,9,9,100.0,1.02,-2.73,-9.91,10.71,9.89,-8.41,V,
Reshoring,Macro,10,10,40.0,-0.45,0.9,-3.53,-6.12,14.07,19.51,EMR,
Water,Macro,9,9,22.22,-1.44,-3.3,-7.74,-6.49,-3.41,-6.92,FELE,
Waste,Macro,6,6,50.0,-0.05,-3.75,-4.83,-1.97,2.6,0.43,CLH,
Railroads,Macro,8,8,12.5,-0.58,-1.36,-7.87,-4.26,8.29,16.0,CNI,
Trucking,Macro,8,8,0.0,-2.46,-3.81,-9.7,-17.24,11.15,23.19,ODFL,
Steel,Macro,7,7,42.86,-0.74,-3.84,2.92,5.1,35.9,26.39,NUE,
