name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,85.31,77.51,70.37,70.56,71.06,81.1,62.33,51.35,79.06,74.5,87.35,79.69,6.19,7.27,6.2,3199592.8,2580567.566666667,220148219.0,182082267.0,1.41,-2.59,7737035490.738733,28.05,25,-5.4,244,405.09,2,142.58,2.76,21.23,2.0,1.24,90.7,0.546,34.87,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,2026-10-28,False,True,3,"LoD>60% ATR, thin RVOL, large gap","EMA, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,False,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,35.31,37.27,37.86,37.0,31.58,25.57,21.45,,36.57,36.46,38.1,33.75,8.57,8.12,2.87,2026847.8,1589415.5,56122261.0,58809433.0,1.31,0.27,2251323420.637865,-4.46,224,94.44,9,249.6,7,113.19,1.45,-6.72,0.39,1.52,54.4,0.221,46.45,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,False,2026-12-02,False,False,4,"thin RVOL, below 200-MA","near21, RVOL",3,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,61.83,53.93,51.09,50.78,51.94,55.84,43.45,36.15,54.88,52.62,62.26,57.51,7.79,7.34,4.54,1092938.5,866887.3333333334,53599644.0,44021550.0,0.95,-1.91,1989738111.1232877,30.55,22,18.4,126,263.71,5,104.22,2.6,21.02,2.38,1.05,95.2,0.369,31.85,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,2026-10-29,False,False,4,"LoD>60% ATR, thin RVOL",EMA,5,https://www.tradingview.com/chart/?symbol=NASDAQ:BAND&interval=D,True,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,10.88,11.4,11.14,11.25,10.77,9.45,7.47,6.83,11.34,11.25,11.36,10.38,7.35,7.85,0.85,2842416.4,2673962.2666666666,29092709.0,30081630.0,1.57,-1.82,1316656801.8856153,1.49,160,8.37,165,270.07,4,93.31,0.13,-2.36,0.42,1.15,58.6,0.219,42.0,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,False,2026-11-11,False,False,6,,"near21, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.5,13.38,13.52,14.77,14.9,12.5,9.61,8.37,13.62,13.94,13.9,13.33,5.83,6.99,0.94,1912161.7,2410829.6666666665,32558255.0,35611972.0,0.59,-1.71,835959545.1447368,-13.1,316,4.49,191,288.07,3,93.16,-1.34,-0.1,0.45,0.61,18.9,0.2,48.32,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,2026-11-11,False,False,5,thin RVOL,"near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,True
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.91,2.72,2.65,2.61,2.56,2.2,1.89,1.82,2.77,2.68,2.92,2.7,5.47,5.84,0.17,30185086.100000035,23658960.466666665,68847575.0,61797205.0,0.77,-1.05,2597479324.149826,7.78,111,56.45,42,200.0,12,88.08,2.33,9.94,1.49,1.29,123.6,0.239,30.99,True,True,True,True,False,True,False,False,False,True,True,False,False,False,False,False,2026-11-11,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21",6,https://www.tradingview.com/chart/?symbol=NYSE:AMC&interval=D,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,536.02,557.49,524.64,502.99,472.29,415.23,333.45,280.8,547.37,526.77,549.85,530.45,5.14,5.81,31.12,10139208.599999998,9054570.233333332,4853430736.0,4554328100.0,0.8,-2.52,340808365683.98804,21.03,44,35.27,79,206.07,10,87.46,2.32,2.17,0.3,0.62,17.9,0.329,51.62,False,False,False,True,True,True,True,True,False,True,False,True,False,True,False,False,2026-12-01,False,True,5,large gap,"near21, ADR",7,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.26,1.31,1.27,1.05,0.91,0.93,0.93,1.04,1.29,1.21,1.31,1.24,12.02,11.62,0.15,18319888.0,65013606.166666664,81917144.0,68458894.0,0.4,-1.15,235799830.8549618,107.51,2,64.13,32,88.06,69,86.57,3.28,-1.06,0.37,0.48,13.7,0.867,31.68,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:GPRO&interval=D,True,False,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,118.51,113.51,113.6,115.38,110.26,91.84,74.33,69.03,114.51,113.86,119.15,111.68,4.65,4.59,5.43,2670827.5,1419621.3333333333,168239324.0,163789048.0,0.37,-0.96,12810741222.404995,-5.11,232,41.56,67,211.13,9,82.53,1.63,4.32,0.89,1.37,125.7,0.078,37.61,True,True,True,True,False,True,False,False,True,True,True,False,False,True,False,False,2026-11-04,False,False,5,LoD>60% ATR,"EMA, near21, BB",7,https://www.tradingview.com/chart/?symbol=NASDAQ:CORT&interval=D,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,36.66,34.65,33.83,33.41,31.12,26.77,23.28,22.19,35.34,33.98,37.8,36.47,5.63,5.6,2.05,3018601.7,2083458.3666666667,76379584.0,69618414.0,0.71,-0.45,2739364765.0796175,12.35,85,85.15,16,148.04,29,81.85,3.18,8.38,1.41,0.65,9.3,0.273,33.98,True,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-09,False,False,5,thin RVOL,"EMA, near21, ADR",9,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,False,True,False
