theme,lane,names,listed,breadth,today,1w,1m,3m,6m,ytd,leader,unquoted
GPUs,Semis,8,8,25.0,-0.7,18.64,12.54,-6.23,111.96,91.15,AMBA,
CPUs,Semis,6,6,16.67,-0.87,13.2,21.7,-7.17,95.01,98.74,IBM,
Memory,Semis,6,6,33.33,-1.27,16.29,13.65,-20.87,131.24,250.42,WDC,
HBM,Semis,6,6,16.67,-1.19,13.78,10.51,-18.79,54.95,104.23,FORM,
NAND,Semis,3,3,0.0,-2.78,15.02,15.62,-17.23,185.4,366.36,MU,
MLCC,Semis,6,6,50.0,0.15,5.75,5.23,-23.98,45.87,70.26,BELFB,
Semi Testing,Semis,8,8,12.5,-0.78,14.75,6.87,-16.45,51.72,114.92,FORM,
Semi Equipment,Semis,11,11,36.36,-0.12,10.16,-0.03,-24.95,24.56,56.93,VECO,
Foundry,Semis,6,6,0.0,-2.51,12.16,16.03,-14.72,89.53,127.93,INTC,
Advanced Packaging,Semis,7,7,28.57,-0.78,14.28,8.92,-19.1,38.16,87.48,FORM,
Analog Semis,Semis,12,12,16.67,-0.85,5.4,5.17,-19.94,30.52,50.61,ON,
Power Semis,Semis,10,10,20.0,-1.49,6.32,1.67,-31.58,33.1,53.13,ON,
RF Semis,Semis,6,6,33.33,-0.32,5.01,17.09,-7.44,44.77,41.87,SWKS,
Optical,Semis,10,10,30.0,-1.5,11.58,2.37,-22.2,40.08,73.96,CRDO,
EDA Software,Semis,5,5,60.0,0.9,17.12,13.2,-14.19,40.77,63.37,CDNS,
PCB and EMS,Semis,7,7,57.14,0.36,7.71,12.0,-18.82,41.87,55.98,SANM,
Connectors,Semis,7,7,57.14,-0.13,4.42,1.38,-9.0,9.89,22.64,ITT,
Semi Materials,Semis,7,7,57.14,-0.31,13.6,3.66,-22.83,20.89,124.64,ICHR,
Robotics,AI,8,8,25.0,-1.33,2.59,-1.98,2.83,12.32,9.63,ZBRA,
Industrial Automation,AI,9,9,77.78,0.81,4.06,-1.37,3.46,18.75,21.41,IR,
Humanoid Robots,AI,6,6,16.67,-2.59,-0.6,-4.24,-2.58,-7.06,-19.52,TSLA,
Agentic AI,AI,12,12,66.67,0.6,3.49,2.2,37.6,54.74,3.54,PLTR,
Edge AI,AI,10,10,30.0,-0.45,8.54,11.01,-19.71,51.58,65.42,AMBA,
Routers,AI,10,10,30.0,-0.63,1.87,1.74,-7.04,33.43,53.25,HPE,
Neoclouds,AI,9,9,11.11,-3.39,10.54,9.22,-22.4,33.24,43.98,CRWV,
Hyperscalers,AI,6,6,50.0,-1.17,1.47,5.35,9.75,19.78,-3.1,META,
Data Center REITs,AI,3,3,0.0,-2.29,1.52,-4.3,-8.45,9.33,30.48,EQIX,
Data Center Power,AI,10,10,40.0,-0.45,4.61,-0.68,-16.82,7.55,40.66,HUBB,
Cybersecurity,AI,12,12,83.33,1.87,4.66,15.91,48.52,104.18,56.28,PANW,
AI Servers,AI,7,7,57.14,0.46,5.94,11.43,10.55,77.71,86.72,HPE,
Autonomous Driving,AI,6,6,50.0,-0.82,-0.4,-3.33,-3.53,12.82,-0.31,APTV,
Drones,AI,8,8,37.5,-2.13,-1.8,-13.52,-3.04,-19.73,-24.34,NOC,
Quantum Computing,AI,8,8,62.5,-0.61,4.67,-2.47,-8.18,18.8,-12.0,IONQ,
GLP-1,Health,9,9,33.33,-1.25,3.74,-5.45,3.12,5.77,-2.13,VKTX,
Medical Devices,Health,12,12,16.67,-1.27,-0.66,-7.17,6.33,-3.94,-17.69,COO,
Radiopharma,Health,6,6,16.67,-1.6,-0.54,-5.37,-2.7,9.32,12.83,NVS,
Nuclear Power,Power,10,10,20.0,-1.44,-2.83,-5.73,-17.74,-15.14,-14.26,TLN,
Independent Power,Power,6,6,33.33,-0.56,-0.94,-4.01,-16.0,-12.51,-18.18,TLN,
Advanced Nuclear,Power,4,4,0.0,-3.08,4.42,-9.82,-20.94,-20.48,-39.81,NNE,
Uranium,Power,8,8,12.5,-3.34,2.15,-15.21,-13.74,-20.15,-17.86,EU,
Grid Equipment,Power,10,10,60.0,-0.06,5.49,0.19,-16.89,12.65,44.51,MYRG,
LNG,Power,10,10,90.0,0.7,-1.71,-0.43,11.31,0.49,34.07,EQNR,
Solar,Power,10,10,0.0,-4.2,-4.54,-10.56,-31.89,-25.48,-32.43,NXT,
Batteries,Materials,8,8,25.0,-1.58,-3.85,-14.64,-32.42,-30.31,-31.66,FLNC,
Copper,Materials,8,8,0.0,-2.65,1.97,-8.34,10.7,27.84,29.66,SCCO,
