theme,lane,names,listed,breadth,today,1w,1m,3m,6m,ytd,leader,unquoted
Rare Earths,Materials,5,5,0.0,-5.88,0.07,-13.3,-22.02,-13.25,-7.44,MP,
Lithium,Materials,6,6,0.0,-3.01,0.95,-18.99,-23.57,-16.49,-16.21,ELVR,
Gold Miners,Materials,10,10,0.0,-3.98,-3.25,-11.25,21.98,14.28,8.85,RGLD,
Silver Miners,Materials,8,8,0.0,-5.86,-3.19,-9.68,18.75,10.91,6.52,BVN,
Defense,Macro,12,12,50.0,0.21,-2.09,-9.43,-1.97,-15.33,-12.92,HWM,
Space,Macro,10,10,0.0,-3.44,4.12,-5.15,-7.72,7.77,30.84,GSAT,
Crypto Miners,Macro,9,9,0.0,-3.75,14.42,15.71,-22.18,48.33,44.6,RIOT,
Crypto Equities,Macro,6,6,0.0,-2.66,15.07,14.06,21.93,35.46,11.42,HOOD,
Fintech,Macro,10,10,10.0,-2.61,-0.93,-7.29,9.65,24.13,-14.96,TOST,
Banks,Macro,10,10,0.0,-1.31,-5.6,-6.52,-5.92,13.21,1.65,BAC,
Regional Banks,Macro,10,10,0.0,-1.6,-5.93,-7.27,-7.07,9.0,3.34,SSB,
Insurance Brokers,Macro,7,7,14.29,-1.91,-6.88,-15.43,1.71,-0.52,-17.09,MRSH,
Oil Producers,Macro,10,10,100.0,1.86,-6.33,-4.74,15.98,-4.04,41.93,APA,
Oil & Gas Midstream,Macro,8,8,62.5,-0.01,-1.33,-1.73,0.56,-1.41,20.19,OKE,
Marine Shipping,Macro,10,10,0.0,-1.2,-3.99,4.18,15.32,29.53,71.06,DHT,
Aerospace,Macro,10,10,60.0,0.03,-1.31,-9.95,-11.93,3.47,5.19,HWM,
Homebuilders,Macro,8,8,0.0,-2.66,-0.91,-8.25,-14.78,1.0,-7.0,NVR,
Travel,Macro,10,10,10.0,-3.06,-3.51,-13.83,-14.31,2.27,-7.33,MAR,
Casinos,Macro,9,9,11.11,-1.16,-5.02,-13.99,-15.51,-6.31,-17.8,CHDN,
Payments,Macro,9,9,33.33,-0.24,-4.99,-10.65,7.95,8.74,-9.4,MA,
Reshoring,Macro,10,10,60.0,0.02,2.32,-2.62,-4.51,14.58,20.1,ROK,
Water,Macro,9,9,44.44,-0.25,-1.49,-5.75,-3.72,-2.19,-5.8,XYL,
Waste,Macro,6,6,33.33,-0.39,-3.11,-4.66,-0.36,2.66,0.4,WM,
Railroads,Macro,8,8,75.0,0.5,-0.61,-7.76,-1.76,8.9,16.66,CSX,
Trucking,Macro,8,8,37.5,-0.31,-0.81,-10.08,-14.6,13.99,26.32,XPO,
Steel,Macro,7,7,42.86,-0.44,-1.4,1.38,5.38,36.96,27.19,CLF,
