name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,250.06,232.54,221.69,217.38,209.57,187.14,159.11,148.17,236.04,225.55,250.8,244.7,4.68,5.12,12.81,12840868.9,11175624.1,2794576562.0,2429383243.0,0.7,-0.46,256045145969.05548,30.96,19,46.99,60,161.04,22,79.66,3.77,12.79,2.12,0.48,41.8,0.341,33.74,True,True,True,True,False,False,True,True,False,True,False,True,False,True,False,False,2026-12-01,False,False,6,,"EMA, ADR",8,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,True,False,True
SMTC,Semtech Corporation,NASDAQ,Semiconductors,174.33,167.07,152.88,146.25,138.51,142.15,124.1,112.8,167.18,156.6,178.5,172.22,5.8,6.59,11.48,3742837.2,3473347.3,605508635.0,507967201.0,0.98,-1.83,16269455333.223995,33.03,16,5.66,190,124.1,42,54.26,3.93,14.03,1.72,0.55,18.4,0.466,31.13,True,True,True,True,False,False,True,True,False,True,False,True,False,True,False,False,2026-12-02,False,False,6,,"EMA, ADR",8,https://www.tradingview.com/chart/?symbol=NASDAQ:SMTC&interval=D,True,False,False
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,276.53,268.58,247.64,237.44,226.85,254.15,226.22,200.55,265.67,252.67,284.25,268.97,5.73,6.71,18.54,18920064.8,14917843.233333332,4125231189.0,3542062862.0,0.51,0.47,81445650738.794,34.09,15,-15.58,311,90.71,66,36.41,3.27,11.66,1.41,0.82,40.8,0.425,24.6,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-10-29,False,False,6,,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NYSE:BE&interval=D,True,False,False
