theme,symbol,description,close,today,1w,1m,3m,6m,ytd
Semi Testing,KLAC,KLA Corporation,187.92,0.43,10.22,2.46,-23.85,30.81,49.18
Semi Testing,ONTO,Onto Innovation Inc.,287.64,2.83,11.95,-1.36,-13.1,41.92,76.9
Semi Testing,COHU,"Cohu, Inc.",67.0,5.18,20.07,32.75,2.38,125.67,179.87
Semi Testing,FORM,"FormFactor, Inc.",129.69,0.5,13.76,20.31,-7.5,31.65,124.18
Semi Testing,AEHR,Aehr Test Systems,104.39,7.15,13.44,10.33,9.31,204.17,396.62
Semi Testing,CAMT,Camtek Ltd.,147.05,1.33,0.57,0.28,-7.34,-5.58,33.02
Semi Testing,NVMI,Nova Ltd.,368.23,0.39,5.38,0.2,-27.14,-16.92,9.59
Semi Equipment,AMAT,"Applied Materials, Inc.",485.0,2.27,15.01,1.1,-24.54,43.65,81.59
Semi Equipment,LRCX,Lam Research Corporation,315.21,2.62,14.87,0.19,-18.23,50.34,77.23
Semi Equipment,ASML,ASML Holding N.V. - New York Registry Shares,1743.94,1.24,6.99,-0.14,-2.12,32.27,53.82
Semi Equipment,KLAC,KLA Corporation,187.92,0.43,10.22,2.46,-23.85,30.81,49.18
Semi Equipment,TER,"Teradyne, Inc.",398.38,2.75,10.9,8.8,-12.2,35.78,99.9
Semi Equipment,ONTO,Onto Innovation Inc.,287.64,2.83,11.95,-1.36,-13.1,41.92,76.9
Semi Equipment,MKSI,MKS Inc.,260.82,1.1,6.88,-3.44,-33.83,17.44,58.51
Semi Equipment,ACLS,"Axcelis Technologies, Inc.",123.11,6.0,15.98,-1.9,-28.4,28.15,50.85
Semi Equipment,CAMT,Camtek Ltd.,147.05,1.33,0.57,0.28,-7.34,-5.58,33.02
Semi Equipment,VECO,Veeco Instruments Inc.,49.67,9.28,18.26,4.52,-30.95,40.11,70.1
Semi Equipment,NVMI,Nova Ltd.,368.23,0.39,5.38,0.2,-27.14,-16.92,9.59
Foundry,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,450.61,-0.12,5.03,7.69,6.03,38.72,44.44
Foundry,GFS,GlobalFoundries Inc.,49.0,4.14,6.06,7.21,-40.01,11.94,37.87
Foundry,UMC,United Microelectronics Corporation (NEW),24.31,0.87,-0.57,25.24,-4.59,169.51,209.68
Foundry,INTC,Intel Corporation,123.0,-3.45,12.03,41.7,-4.43,181.98,225.66
Foundry,ASX,"ASE Technology Holding Co., Ltd.",44.31,1.86,9.81,20.02,10.5,104.57,165.81
Foundry,TSEM,Tower Semiconductor Ltd.,230.47,6.07,2.43,7.49,-7.87,36.13,91.28
Advanced Packaging,AMKR,"Amkor Technology, Inc.",53.61,1.75,10.46,10.08,-34.37,19.51,30.6
Advanced Packaging,ASX,"ASE Technology Holding Co., Ltd.",44.31,1.86,9.81,20.02,10.5,104.57,165.81
Advanced Packaging,TSEM,Tower Semiconductor Ltd.,230.47,6.07,2.43,7.49,-7.87,36.13,91.28
Advanced Packaging,ONTO,Onto Innovation Inc.,287.64,2.83,11.95,-1.36,-13.1,41.92,76.9
Advanced Packaging,CAMT,Camtek Ltd.,147.05,1.33,0.57,0.28,-7.34,-5.58,33.02
Advanced Packaging,FORM,"FormFactor, Inc.",129.69,0.5,13.76,20.31,-7.5,31.65,124.18
Advanced Packaging,KLIC,"Kulicke and Soffa Industries, Inc.",91.18,3.06,10.74,8.64,-27.54,42.83,94.79
Analog Semis,TXN,Texas Instruments Incorporated,278.07,2.74,6.62,6.74,-8.06,45.05,58.93
Analog Semis,ADI,"Analog Devices, Inc.",393.6,2.87,8.39,5.0,-2.92,26.61,43.09
Analog Semis,MCHP,Microchip Technology Incorporated,78.69,5.36,10.07,7.19,-13.6,23.86,20.58
Analog Semis,NXPI,NXP Semiconductors N.V.,238.08,3.44,2.9,5.93,-17.67,21.48,7.92
Analog Semis,ON,ON Semiconductor Corporation,77.2,5.54,10.07,6.39,-21.46,25.75,39.73
Analog Semis,MPWR,"Monolithic Power Systems, Inc.",1367.43,2.39,15.34,5.1,0.74,30.32,47.42
Analog Semis,ALGM,"Allegro MicroSystems, Inc.",36.76,4.64,9.5,-2.0,-35.9,19.51,36.15
Analog Semis,DIOD,Diodes Incorporated,95.84,1.16,3.95,2.84,-12.13,36.91,89.89
Analog Semis,POWI,"Power Integrations, Inc.",52.22,2.84,4.94,-5.89,-35.93,5.79,43.62
Analog Semis,MTSI,"MACOM Technology Solutions Holdings, Inc.",285.57,0.22,4.77,6.92,-24.47,26.88,63.39
Analog Semis,SMTC,Semtech Corporation,182.3,4.47,-0.02,39.27,17.61,144.99,141.84
Analog Semis,SLAB,"Silicon Laboratories, Inc.",221.24,-0.06,0.63,1.26,1.54,7.03,66.57
Power Semis,ON,ON Semiconductor Corporation,77.2,5.54,10.07,6.39,-21.46,25.75,39.73
Power Semis,MPWR,"Monolithic Power Systems, Inc.",1367.43,2.39,15.34,5.1,0.74,30.32,47.42
Power Semis,NVTS,Navitas Semiconductor Corporation,12.2,3.04,7.02,-3.17,-28.45,38.17,62.67
Power Semis,ALGM,"Allegro MicroSystems, Inc.",36.76,4.64,9.5,-2.0,-35.9,19.51,36.15
Power Semis,STM,STMicroelectronics N.V.,51.93,0.68,4.4,4.21,-28.32,60.08,88.7
Power Semis,TXN,Texas Instruments Incorporated,278.07,2.74,6.62,6.74,-8.06,45.05,58.93
Power Semis,DIOD,Diodes Incorporated,95.84,1.16,3.95,2.84,-12.13,36.91,89.89
Power Semis,POWI,"Power Integrations, Inc.",52.22,2.84,4.94,-5.89,-35.93,5.79,43.62
Power Semis,WOLF,"Wolfspeed, Inc.",27.57,4.83,13.46,8.12,-39.54,67.09,53.59
Power Semis,AOSL,Alpha and Omega Semiconductor Limited,27.93,2.27,10.35,4.33,-34.68,25.64,36.98
RF Semis,QCOM,QUALCOMM Incorporated,201.97,3.97,5.56,26.15,0.13,55.49,16.21
RF Semis,SWKS,"Skyworks Solutions, Inc.",89.34,1.74,-2.94,35.88,31.34,59.22,39.22
RF Semis,QRVO,"Qorvo, Inc.",117.97,1.4,-2.31,24.78,26.33,47.35,38.14
RF Semis,MTSI,"MACOM Technology Solutions Holdings, Inc.",285.57,0.22,4.77,6.92,-24.47,26.88,63.39
RF Semis,NXPI,NXP Semiconductors N.V.,238.08,3.44,2.9,5.93,-17.67,21.48,7.92
RF Semis,STM,STMicroelectronics N.V.,51.93,0.68,4.4,4.21,-28.32,60.08,88.7
Optical,COHR,Coherent Corp.,295.83,1.8,-3.24,3.35,-24.69,21.34,57.36
Optical,LITE,Lumentum Holdings Inc.,941.65,1.36,2.84,7.01,14.48,33.3,148.21
Optical,AAOI,"Applied Optoelectronics, Inc.",101.4,0.37,0.33,-8.31,-23.0,0.2,178.99
Optical,CIEN,Ciena Corporation,356.91,-0.42,0.29,-7.83,-23.46,-9.6,48.1
Optical,FN,Fabrinet,417.39,4.78,7.85,-2.84,-24.22,-23.29,-10.19
Optical,CRDO,Credo Technology Group Holding Ltd,210.97,7.65,23.29,-5.39,-19.25,122.07,42.16
Optical,ALAB,"Astera Labs, Inc.",364.62,1.14,21.53,29.01,-4.66,228.49,112.38
Optical,MTSI,"MACOM Technology Solutions Holdings, Inc.",285.57,0.22,4.77,6.92,-24.47,26.88,63.39
Optical,VIAV,Viavi Solutions Inc.,40.68,9.27,13.89,7.88,-16.82,19.09,125.37
Optical,NOVT,Novanta Inc.,143.93,1.7,7.13,3.06,-9.47,22.72,20.05
EDA Software,SNPS,"Synopsys, Inc.",425.76,0.2,10.59,5.1,-5.21,6.44,-11.1
EDA Software,CDNS,"Cadence Design Systems, Inc.",326.13,1.28,15.68,-0.72,-9.97,17.2,3.3
EDA Software,ARM,Arm Holdings plc,310.32,1.3,15.24,29.14,-7.39,104.79,175.03
EDA Software,KEYS,Keysight Technologies Inc.,362.15,1.29,8.35,12.08,2.18,30.35,76.39
EDA Software,PDFS,"PDF Solutions, Inc.",49.55,3.49,11.88,11.85,-24.6,46.17,69.69
PCB and EMS,TTMI,"TTM Technologies, Inc.",129.17,1.72,11.12,11.84,-37.3,35.44,84.87
PCB and EMS,FLEX,Flex Ltd.,114.68,2.03,4.68,4.27,-27.3,78.16,86.65
PCB and EMS,CLS,"Celestica, Inc.",365.44,-2.17,10.05,19.74,4.0,35.02,22.59
PCB and EMS,SANM,Sanmina Corporation,224.77,1.3,13.66,17.43,-8.56,74.63,46.05
PCB and EMS,JBL,Jabil Inc.,316.74,1.95,5.86,2.02,-13.07,21.82,36.94
PCB and EMS,PLXS,Plexus Corp.,263.09,0.57,6.61,8.45,-9.85,32.62,78.69
PCB and EMS,ROG,Rogers Corporation,137.76,1.15,3.91,9.95,-15.97,27.3,48.91
Connectors,APH,Amphenol Corporation,84.09,1.22,7.35,5.73,3.51,37.29,22.65
Connectors,TEL,TE Connectivity plc,218.59,2.3,6.37,7.97,11.13,8.5,-5.13
Connectors,FN,Fabrinet,417.39,4.78,7.85,-2.84,-24.22,-23.29,-10.19
Connectors,GLW,Corning Incorporated,156.74,1.68,3.12,6.63,-30.16,15.75,76.29
Connectors,BDC,Belden Inc,112.45,1.49,0.36,-4.32,-7.2,-0.64,-3.32
Connectors,LFUS,"Littelfuse, Inc.",429.22,1.91,6.08,5.48,-9.38,28.18,68.92
Connectors,ITT,ITT Inc.,206.26,-3.6,1.7,-0.18,4.19,10.83,17.92
Semi Materials,ENTG,"Entegris, Inc.",151.89,2.19,10.93,8.58,-9.51,34.12,76.29
Semi Materials,MKSI,MKS Inc.,260.82,1.1,6.88,-3.44,-33.83,17.44,58.51
Semi Materials,ASYS,"Amtech Systems, Inc.",15.78,2.47,9.74,7.13,-21.1,38.42,24.35
Semi Materials,UCTT,"Ultra Clean Holdings, Inc.",77.69,1.53,13.55,5.96,-31.47,32.44,197.21
Semi Materials,PLAB,"Photronics, Inc.",30.4,1.98,5.7,-18.41,-2.69,-22.25,-8.13
Semi Materials,AXTI,AXT Inc,78.94,4.01,13.22,20.81,18.17,28.99,358.95
Semi Materials,ICHR,Ichor Holdings,57.94,2.6,7.02,1.03,-35.27,29.62,201.93
Robotics,ISRG,"Intuitive Surgical, Inc.",405.18,1.42,6.2,9.96,1.43,-12.94,-28.51
Robotics,SYM,Symbotic Inc.,43.47,-1.29,-2.75,7.84,8.67,-13.06,-28.53
Robotics,ROK,"Rockwell Automation, Inc.",434.15,0.28,5.78,0.6,-8.59,23.57,10.75
Robotics,CGNX,Cognex Corporation,58.66,1.66,-4.63,-2.02,-10.24,19.62,61.02
Robotics,TER,"Teradyne, Inc.",398.38,2.75,10.9,8.8,-12.2,35.78,99.9
Robotics,PATH,"UiPath, Inc.",12.46,-1.11,-10.13,-23.53,25.73,14.31,-24.48
Robotics,ZBRA,Zebra Technologies Corporation,370.04,1.35,5.87,2.23,53.93,82.74,50.22
Robotics,SERV,Serve Robotics Inc.,4.45,-1.33,2.3,-8.81,-23.01,-50.17,-58.83
Industrial Automation,ROK,"Rockwell Automation, Inc.",434.15,0.28,5.78,0.6,-8.59,23.57,10.75
Industrial Automation,EMR,Emerson Electric Company,158.23,1.34,7.2,1.7,10.19,26.96,18.76
Industrial Automation,HON,Honeywell International Inc.,212.55,0.36,2.93,-1.83,-11.66,-10.36,3.62
Industrial Automation,ETN,"Eaton Corporation, PLC",439.98,-0.0,6.93,6.8,7.17,23.39,36.13
Industrial Automation,CGNX,Cognex Corporation,58.66,1.66,-4.63,-2.02,-10.24,19.62,61.02
Industrial Automation,ZBRA,Zebra Technologies Corporation,370.04,1.35,5.87,2.23,53.93,82.74,50.22
Industrial Automation,IR,Ingersoll Rand Inc.,76.08,1.74,5.2,-3.92,-6.76,-6.0,-4.7
Industrial Automation,PH,Parker-Hannifin Corporation,978.33,0.34,5.75,-4.56,-0.41,8.69,10.97
Industrial Automation,ITW,Illinois Tool Works Inc.,274.32,0.85,2.51,-3.07,1.56,5.22,11.22
Humanoid Robots,TSLA,"Tesla, Inc.",372.11,-1.54,0.84,7.77,0.53,0.65,-18.72
Humanoid Robots,SERV,Serve Robotics Inc.,4.45,-1.33,2.3,-8.81,-23.01,-50.17,-58.83
Humanoid Robots,SYM,Symbotic Inc.,43.47,-1.29,-2.75,7.84,8.67,-13.06,-28.53
Humanoid Robots,RR,Richtech Robotics Inc.,1.7,3.66,-0.87,-12.37,-7.86,-16.67,-49.1
Humanoid Robots,PATH,"UiPath, Inc.",12.46,-1.11,-10.13,-23.53,25.73,14.31,-24.48
Humanoid Robots,CGNX,Cognex Corporation,58.66,1.66,-4.63,-2.02,-10.24,19.62,61.02
Agentic AI,PLTR,Palantir Technologies Inc.,189.67,-1.52,7.05,11.18,73.95,30.02,4.62
Agentic AI,PATH,"UiPath, Inc.",12.46,-1.11,-10.13,-23.53,25.73,14.31,-24.48
Agentic AI,NOW,"ServiceNow, Inc.",135.62,-1.57,-2.93,10.86,49.96,32.13,-11.41
Agentic AI,CRM,"Salesforce, Inc.",234.02,-1.76,-4.19,17.05,54.48,27.18,-11.69
Agentic AI,SNOW,Snowflake Inc.,335.94,0.58,-0.79,8.56,49.13,112.18,52.77
Agentic AI,DDOG,"Datadog, Inc.",268.13,4.36,12.44,21.62,19.2,123.44,95.36
Agentic AI,MDB,"MongoDB, Inc.",410.44,-2.6,3.53,4.91,39.49,72.72,-2.85
Agentic AI,GTLB,GitLab Inc.,46.84,-3.65,-7.55,15.07,67.6,125.22,23.34
Agentic AI,AI,"C3.ai, Inc.",10.65,-1.02,-1.84,10.94,22.48,30.67,-21.58
Agentic AI,SOUN,"SoundHound AI, Inc.",6.05,-0.82,0.0,-13.07,-0.49,1.51,-41.21
Agentic AI,BBAI,"BigBear.ai, Inc.",2.8,0.0,-3.11,-8.5,-16.42,-13.85,-50.0
Agentic AI,ESTC,Elastic N.V.,88.12,-3.46,-1.53,11.47,63.55,74.84,16.81
Edge AI,QCOM,QUALCOMM Incorporated,201.97,3.97,5.56,26.15,0.13,55.49,16.21
Edge AI,ARM,Arm Holdings plc,310.32,1.3,15.24,29.14,-7.39,104.79,175.03
Edge AI,AMBA,"Ambarella, Inc.",72.68,4.04,8.03,2.53,17.21,40.17,-0.21
Edge AI,LSCC,Lattice Semiconductor Corporation,128.05,4.77,15.8,9.29,-8.85,36.38,69.56
Edge AI,SYNA,Synaptics Incorporated,102.72,6.09,9.71,7.87,-18.62,41.92,35.66
Edge AI,CRUS,"Cirrus Logic, Inc.",119.92,0.94,-0.76,7.4,-20.42,-17.79,-0.28
Edge AI,NXPI,NXP Semiconductors N.V.,238.08,3.44,2.9,5.93,-17.67,21.48,7.92
Edge AI,STM,STMicroelectronics N.V.,51.93,0.68,4.4,4.21,-28.32,60.08,88.7
Edge AI,INTC,Intel Corporation,123.0,-3.45,12.03,41.7,-4.43,181.98,225.66
Edge AI,POWI,"Power Integrations, Inc.",52.22,2.84,4.94,-5.89,-35.93,5.79,43.62
Routers,CSCO,"Cisco Systems, Inc.",106.7,-0.25,-3.31,-4.31,-8.94,30.16,39.21
Routers,ANET,"Arista Networks, Inc.",206.55,0.41,2.08,8.2,29.14,70.22,54.08
Routers,HPE,Hewlett Packard Enterprise Company,62.94,-0.91,2.01,17.87,39.2,153.08,159.23
Routers,NOK,Nokia Corporation Sponsored,10.39,-0.38,-3.97,1.56,-22.69,28.91,57.66
Routers,ERIC,Ericsson,9.53,0.21,-7.21,-7.02,-13.36,-14.64,-1.65
Routers,CIEN,Ciena Corporation,356.91,-0.42,0.29,-7.83,-23.46,-9.6,48.1
Routers,FFIV,"F5, Inc.",443.06,-0.78,0.89,15.81,14.71,52.76,73.19
Routers,EXTR,"Extreme Networks, Inc.",21.52,-0.55,-4.53,-4.78,-29.6,41.3,27.94
Routers,CALX,"Calix, Inc",33.14,-0.39,-6.41,-16.25,-5.31,-34.35,-37.92
Routers,VIAV,Viavi Solutions Inc.,40.68,9.27,13.89,7.88,-16.82,19.09,125.37
Neoclouds,CRWV,"CoreWeave, Inc.",87.59,-2.82,9.72,0.81,-7.97,11.71,18.48
Neoclouds,NBIS,Nebius Group N.V.,237.33,-2.53,8.92,10.13,-3.07,124.26,172.84
Neoclouds,IREN,IREN Limited,44.12,-4.39,-1.29,7.1,-5.41,19.27,13.11
Neoclouds,CORZ,"Core Scientific, Inc.",17.34,-4.3,-2.42,-2.42,-34.28,11.15,17.32
Neoclouds,WULF,TeraWulf Inc.,15.74,-3.38,-6.03,-2.24,-37.54,3.96,34.47
Neoclouds,APLD,Applied Digital Corporation,26.25,-2.99,-2.67,-7.86,-33.29,3.14,3.71
Neoclouds,HUT,Hut 8 Corp.,96.82,-4.65,3.73,14.98,-14.85,94.73,102.34
Neoclouds,CIFR,Cipher Digital Inc.,17.73,-2.04,-0.39,10.81,-28.91,26.28,18.44
Neoclouds,GDS,GDS Holdings Limited,32.77,-1.65,2.86,-0.36,13.31,-21.55,-10.22
Hyperscalers,MSFT,Microsoft Corporation,516.17,3.66,3.66,5.81,44.52,42.63,6.56
Hyperscalers,AMZN,"Amazon.com, Inc.",249.67,0.12,-1.28,-4.44,9.89,20.93,7.92
Hyperscalers,GOOGL,Alphabet Inc.,343.92,0.46,-3.75,-0.78,0.4,24.04,8.53
Hyperscalers,META,"Meta Platforms, Inc.",751.66,-3.33,9.15,27.33,38.34,39.17,13.42
Hyperscalers,ORCL,Oracle Corporation,137.1,-1.75,-8.89,-6.73,-8.76,-2.72,-30.57
Hyperscalers,IBM,International Business Machines Corporation,225.51,-0.68,-5.19,-2.25,-12.91,-5.59,-24.21
Data Center REITs,DLR,"Digital Realty Trust, Inc.",178.61,-1.32,-2.5,-6.94,-7.52,2.68,15.5
Data Center REITs,EQIX,"Equinix, Inc.",1008.08,-2.58,-1.43,-5.31,-6.77,4.64,31.58
Data Center REITs,IRM,Iron Mountain Incorporated (Delaware),111.38,-2.38,-2.64,-7.78,-14.63,12.23,34.19
Data Center Power,VRT,"Vertiv Holdings, LLC",253.28,3.25,2.88,-1.3,-19.34,1.33,49.46
Data Center Power,ETN,"Eaton Corporation, PLC",439.98,-0.0,6.93,6.8,7.17,23.39,36.13
Data Center Power,GEV,GE Vernova Inc.,957.63,0.27,2.42,3.54,-8.73,10.38,44.83
Data Center Power,PWR,"Quanta Services, Inc.",649.13,0.87,5.1,5.9,-8.06,18.3,52.75
Data Center Power,HUBB,Hubbell Inc,466.62,0.16,5.12,0.1,-11.22,-2.41,4.22
Data Center Power,FIX,"Comfort Systems USA, Inc.",1658.91,0.94,4.15,5.99,-15.23,21.43,76.78
Data Center Power,EME,"EMCOR Group, Inc.",762.21,1.36,4.25,2.56,-9.33,5.01,23.64
Data Center Power,POWL,"Powell Industries, Inc.",189.53,-1.09,6.73,-0.15,-36.0,8.43,75.49
Data Center Power,MOD,Modine Manufacturing Company,198.07,0.57,6.29,4.71,-28.01,-7.54,45.39
Data Center Power,TT,Trane Technologies plc,454.44,3.63,7.98,-0.85,-8.93,11.91,16.26
Cybersecurity,CRWD,"CrowdStrike Holdings, Inc.",252.13,-2.9,2.09,37.96,46.97,171.95,112.77
Cybersecurity,PANW,"Palo Alto Networks, Inc.",374.74,-3.89,-0.09,13.4,26.97,153.97,102.77
Cybersecurity,ZS,"Zscaler, Inc.",193.05,-10.06,-2.99,19.87,54.16,44.29,-14.85
Cybersecurity,FTNT,"Fortinet, Inc.",173.46,-2.92,0.58,14.5,15.02,117.67,116.91
Cybersecurity,NET,"Cloudflare, Inc.",349.02,-2.73,3.26,27.46,54.52,70.25,75.48
Cybersecurity,S,"SentinelOne, Inc.",22.38,-6.67,-3.24,11.79,49.85,72.02,48.21
Cybersecurity,OKTA,"Okta, Inc.",195.19,-5.54,2.85,52.49,63.56,155.99,123.97
Cybersecurity,TENB,"Tenable Holdings, Inc.",33.49,-6.66,-7.13,3.62,22.05,87.93,41.31
Cybersecurity,QLYS,"Qualys, Inc.",172.43,-5.75,-3.37,-1.02,48.17,94.55,30.04
Cybersecurity,CHKP,Check Point Software Technologies Ltd.,131.24,-3.71,-3.47,3.49,6.47,-6.4,-29.35
Cybersecurity,RPD,"Rapid7, Inc.",11.62,-9.57,-7.92,1.13,65.06,111.08,-23.6
Cybersecurity,GEN,Gen Digital Inc.,21.62,-6.29,-28.39,-25.16,-8.08,14.76,-20.6
AI Servers,SMCI,"Super Micro Computer, Inc.",43.26,4.22,7.61,13.77,39.71,94.78,44.39
AI Servers,DELL,Dell Technologies Inc.,562.89,5.01,-5.1,25.2,42.05,221.41,338.39
AI Servers,HPE,Hewlett Packard Enterprise Company,62.94,-0.91,2.01,17.87,39.2,153.08,159.23
AI Servers,CLS,"Celestica, Inc.",365.44,-2.17,10.05,19.74,4.0,35.02,22.59
AI Servers,FN,Fabrinet,417.39,4.78,7.85,-2.84,-24.22,-23.29,-10.19
AI Servers,JBL,Jabil Inc.,316.74,1.95,5.86,2.02,-13.07,21.82,36.94
AI Servers,HPQ,HP Inc.,31.3,0.51,-9.9,6.39,37.64,62.26,38.86
Autonomous Driving,TSLA,"Tesla, Inc.",372.11,-1.54,0.84,7.77,0.53,0.65,-18.72
Autonomous Driving,GOOGL,Alphabet Inc.,343.92,0.46,-3.75,-0.78,0.4,24.04,8.53
Autonomous Driving,GM,General Motors Company,82.63,2.56,-4.1,-3.9,5.41,9.87,1.5
Autonomous Driving,MBLY,Mobileye Global Inc.,8.03,4.42,-1.35,-7.27,4.56,18.26,-23.52
Autonomous Driving,APTV,Aptiv PLC,44.79,2.78,3.06,-3.55,-26.08,-24.39,-31.18
Autonomous Driving,AUR,"Aurora Innovation, Inc.",6.04,-0.33,-7.15,4.68,-1.31,45.81,56.48
Drones,AVAV,"AeroVironment, Inc.",152.05,-4.1,-8.17,3.79,12.03,-20.86,-38.8
Drones,KTOS,"Kratos Defense & Security Solutions, Inc.",45.62,-2.98,-5.33,-12.94,-0.91,-39.06,-40.4
Drones,RC,Ready Capital Corporation,1.33,-4.32,-19.39,-32.49,-23.12,-15.82,-39.55
Drones,EH,EHang Holdings Limited,4.51,-0.66,-2.38,-5.45,-25.94,-53.14,-66.89
Drones,LMT,Lockheed Martin Corporation,519.56,-0.79,-3.24,-7.06,2.83,-16.96,7.51
Drones,NOC,Northrop Grumman Corporation,510.52,0.3,-2.51,-6.0,1.75,-26.25,-10.37
Drones,RTX,RTX Corporation,189.4,0.42,-1.87,-9.98,1.13,-1.56,3.22
Drones,AXON,"Axon Enterprise, Inc.",430.11,-3.35,-5.6,-29.37,-3.35,-3.35,-24.99
Quantum Computing,IONQ,"IonQ, Inc.",45.48,1.11,11.61,10.76,-8.4,53.91,-1.15
Quantum Computing,RGTI,"Rigetti Computing, Inc.",16.66,0.97,2.52,-0.24,-7.08,16.91,-26.15
Quantum Computing,QBTS,D-Wave Quantum Inc.,17.41,-0.4,-3.71,-7.05,-18.26,19.99,-35.39
Quantum Computing,QUBT,Quantum Computing Inc.,8.96,-2.18,4.07,6.29,0.11,28.74,-15.07
Quantum Computing,IBM,International Business Machines Corporation,225.51,-0.68,-5.19,-2.25,-12.91,-5.59,-24.21
Quantum Computing,HON,Honeywell International Inc.,212.55,0.36,2.93,-1.83,-11.66,-10.36,3.62
Quantum Computing,GOOGL,Alphabet Inc.,343.92,0.46,-3.75,-0.78,0.4,24.04,8.53
Quantum Computing,MSFT,Microsoft Corporation,516.17,3.66,3.66,5.81,44.52,42.63,6.56
GLP-1,LLY,Eli Lilly and Company,1183.46,0.13,2.91,-4.1,4.84,32.08,9.95
GLP-1,NVO,Novo Nordisk A/S,38.8,0.47,-10.8,-18.83,-17.66,6.86,-24.82
GLP-1,AMGN,Amgen Inc.,414.61,2.11,9.54,-5.98,16.89,16.57,26.11
GLP-1,VKTX,"Viking Therapeutics, Inc.",35.56,-3.24,20.26,4.31,-2.19,4.62,0.06
GLP-1,GPCR,Structure Therapeutics Inc.,35.93,-0.25,2.54,-27.78,-25.87,-22.06,-48.5
GLP-1,ALT,"Altimmune, Inc.",3.06,0.66,-5.26,-4.38,7.37,-3.16,-15.47
GLP-1,PFE,"Pfizer, Inc.",28.67,0.92,3.73,0.81,20.77,3.39,14.77
