theme,symbol,description,close,today,1w,1m,3m,6m,ytd
GPUs,NVDA,NVIDIA Corporation,225.07,0.22,2.61,5.85,16.54,32.39,18.56
GPUs,AMD,"Advanced Micro Devices, Inc.",630.63,0.22,15.21,32.74,21.32,212.55,188.09
GPUs,AVGO,Broadcom Inc.,352.81,0.7,0.21,-1.21,-4.76,14.9,0.01
GPUs,MRVL,"Marvell Technology, Inc.",261.94,1.15,8.21,9.14,-2.4,165.17,201.98
GPUs,ARM,Arm Holdings plc,310.32,1.3,15.24,29.14,-7.39,104.79,175.03
GPUs,ALAB,"Astera Labs, Inc.",364.62,1.14,21.53,29.01,-4.66,228.49,112.38
GPUs,CRDO,Credo Technology Group Holding Ltd,210.97,7.65,23.29,-5.39,-19.25,122.07,42.16
GPUs,AMBA,"Ambarella, Inc.",72.68,4.04,8.03,2.53,17.21,40.17,-0.21
CPUs,INTC,Intel Corporation,123.0,-3.45,12.03,41.7,-4.43,181.98,225.66
CPUs,AMD,"Advanced Micro Devices, Inc.",630.63,0.22,15.21,32.74,21.32,212.55,188.09
CPUs,ARM,Arm Holdings plc,310.32,1.3,15.24,29.14,-7.39,104.79,175.03
CPUs,QCOM,QUALCOMM Incorporated,201.97,3.97,5.56,26.15,0.13,55.49,16.21
CPUs,AVGO,Broadcom Inc.,352.81,0.7,0.21,-1.21,-4.76,14.9,0.01
CPUs,IBM,International Business Machines Corporation,225.51,-0.68,-5.19,-2.25,-12.91,-5.59,-24.21
Memory,MU,"Micron Technology, Inc.",1082.28,0.16,9.91,16.91,-4.99,200.75,266.72
Memory,WDC,Western Digital Corporation,456.81,1.44,6.86,1.54,-28.97,66.17,157.79
Memory,SNDK,Sandisk Corporation,1777.8,1.38,9.39,22.14,-18.07,196.42,627.56
Memory,STX,Seagate Technology Holdings PLC,916.83,1.2,12.54,11.05,-7.82,142.21,225.15
Memory,SIMO,Silicon Motion Technology Corporation,276.23,0.41,7.12,14.3,-12.17,155.18,192.15
Memory,RMBS,"Rambus, Inc.",105.16,0.58,20.21,17.37,-11.02,16.75,10.21
HBM,MU,"Micron Technology, Inc.",1082.28,0.16,9.91,16.91,-4.99,200.75,266.72
HBM,AMKR,"Amkor Technology, Inc.",53.61,1.75,10.46,10.08,-34.37,19.51,30.6
HBM,ASX,"ASE Technology Holding Co., Ltd.",44.31,1.86,9.81,20.02,10.5,104.57,165.81
HBM,FORM,"FormFactor, Inc.",129.69,0.5,13.76,20.31,-7.5,31.65,124.18
HBM,CAMT,Camtek Ltd.,147.05,1.33,0.57,0.28,-7.34,-5.58,33.02
HBM,NVMI,Nova Ltd.,368.23,0.39,5.38,0.2,-27.14,-16.92,9.59
NAND,SNDK,Sandisk Corporation,1777.8,1.38,9.39,22.14,-18.07,196.42,627.56
NAND,MU,"Micron Technology, Inc.",1082.28,0.16,9.91,16.91,-4.99,200.75,266.72
NAND,SIMO,Silicon Motion Technology Corporation,276.23,0.41,7.12,14.3,-12.17,155.18,192.15
MLCC,VSH,"Vishay Intertechnology, Inc.",32.55,2.36,0.65,3.56,-43.35,88.91,119.49
MLCC,KN,Knowles Corporation,37.53,2.09,4.83,11.0,-6.17,45.75,72.79
MLCC,BELFB,Bel Fuse Inc.,252.69,0.69,5.27,0.59,-17.97,24.76,48.08
MLCC,CTS,CTS Corporation,59.6,0.03,3.38,4.62,-9.08,24.32,38.35
MLCC,VPG,"Vishay Precision Group, Inc.",71.63,4.46,13.11,9.71,-45.21,72.52,84.61
MLCC,LFUS,"Littelfuse, Inc.",429.22,1.91,6.08,5.48,-9.38,28.18,68.92
Semi Testing,TER,"Teradyne, Inc.",398.38,2.75,10.9,8.8,-12.2,35.78,99.9
