theme,symbol,description,close,today,1w,1m,3m,6m,ytd
Semi Equipment,VECO,Veeco Instruments Inc.,44.36,0.32,7.25,-7.1,-40.39,22.71,51.92
Semi Equipment,NVMI,Nova Ltd.,369.95,1.97,8.46,-4.23,-29.85,-21.59,10.1
Foundry,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,452.0,1.54,7.12,6.85,4.15,33.01,44.88
Foundry,GFS,GlobalFoundries Inc.,47.95,-1.28,10.03,-0.42,-42.6,4.26,34.92
Foundry,UMC,United Microelectronics Corporation (NEW),25.77,1.34,17.72,39.67,-2.39,182.26,228.28
Foundry,INTC,Intel Corporation,123.86,1.71,25.33,33.6,-6.9,167.55,227.93
Foundry,ASX,"ASE Technology Holding Co., Ltd.",45.2,3.36,19.67,22.99,11.19,104.52,171.15
Foundry,TSEM,Tower Semiconductor Ltd.,236.61,1.19,21.8,4.26,-15.11,30.93,96.37
Advanced Packaging,AMKR,"Amkor Technology, Inc.",54.59,4.6,14.21,5.79,-37.6,12.93,32.98
Advanced Packaging,ASX,"ASE Technology Holding Co., Ltd.",45.2,3.36,19.67,22.99,11.19,104.52,171.15
Advanced Packaging,TSEM,Tower Semiconductor Ltd.,236.61,1.19,21.8,4.26,-15.11,30.93,96.37
Advanced Packaging,ONTO,Onto Innovation Inc.,283.81,2.84,11.3,-6.33,-10.19,31.91,74.54
Advanced Packaging,CAMT,Camtek Ltd.,151.36,1.16,11.91,0.83,-9.85,-11.63,36.92
Advanced Packaging,FORM,"FormFactor, Inc.",126.01,5.62,19.86,7.07,-11.14,20.55,117.82
Advanced Packaging,KLIC,"Kulicke and Soffa Industries, Inc.",89.54,6.49,11.17,2.91,-29.52,33.76,91.28
Analog Semis,TXN,Texas Instruments Incorporated,271.41,0.2,2.38,0.6,-10.46,38.4,55.12
Analog Semis,ADI,"Analog Devices, Inc.",390.37,1.92,7.69,4.18,-4.14,22.33,41.92
Analog Semis,MCHP,Microchip Technology Incorporated,75.82,1.39,5.48,-1.3,-18.35,17.57,16.18
Analog Semis,NXPI,NXP Semiconductors N.V.,237.57,2.22,5.1,5.46,-20.56,20.82,7.69
Analog Semis,ON,ON Semiconductor Corporation,73.6,2.62,0.35,-2.22,-37.17,19.09,33.21
Analog Semis,MPWR,"Monolithic Power Systems, Inc.",1380.62,8.06,18.51,4.5,-2.98,25.34,48.84
Analog Semis,ALGM,"Allegro MicroSystems, Inc.",35.51,0.03,3.17,-5.62,-36.28,8.1,31.52
Analog Semis,DIOD,Diodes Incorporated,95.94,5.74,4.61,4.11,-14.41,32.94,90.09
Analog Semis,POWI,"Power Integrations, Inc.",51.46,3.94,3.77,-6.91,-37.15,0.78,41.53
Analog Semis,MTSI,"MACOM Technology Solutions Holdings, Inc.",279.69,0.21,14.74,4.72,-25.89,16.53,60.02
Analog Semis,SMTC,Semtech Corporation,174.33,-1.71,16.49,33.03,5.66,124.1,131.27
Analog Semis,SLAB,"Silicon Laboratories, Inc.",221.97,0.5,1.22,1.52,1.48,7.47,67.12
Power Semis,ON,ON Semiconductor Corporation,73.6,2.62,0.35,-2.22,-37.17,19.09,33.21
Power Semis,MPWR,"Monolithic Power Systems, Inc.",1380.62,8.06,18.51,4.5,-2.98,25.34,48.84
Power Semis,NVTS,Navitas Semiconductor Corporation,12.46,2.47,14.31,-5.5,-40.91,36.1,66.13
Power Semis,ALGM,"Allegro MicroSystems, Inc.",35.51,0.03,3.17,-5.62,-36.28,8.1,31.52
Power Semis,STM,STMicroelectronics N.V.,53.41,3.45,9.87,5.28,-25.62,60.83,94.08
Power Semis,TXN,Texas Instruments Incorporated,271.41,0.2,2.38,0.6,-10.46,38.4,55.12
Power Semis,DIOD,Diodes Incorporated,95.94,5.74,4.61,4.11,-14.41,32.94,90.09
Power Semis,POWI,"Power Integrations, Inc.",51.46,3.94,3.77,-6.91,-37.15,0.78,41.53
Power Semis,WOLF,"Wolfspeed, Inc.",27.99,1.01,17.02,4.21,-41.88,54.56,55.93
Power Semis,AOSL,Alpha and Omega Semiconductor Limited,28.28,7.65,15.15,6.08,-37.46,23.82,38.7
RF Semis,QCOM,QUALCOMM Incorporated,198.27,2.08,9.82,21.7,-2.12,53.95,14.08
RF Semis,SWKS,"Skyworks Solutions, Inc.",89.96,1.37,11.7,32.45,22.33,61.8,40.19
RF Semis,QRVO,"Qorvo, Inc.",118.44,1.05,9.26,22.99,18.72,48.92,38.69
RF Semis,MTSI,"MACOM Technology Solutions Holdings, Inc.",279.69,0.21,14.74,4.72,-25.89,16.53,60.02
RF Semis,NXPI,NXP Semiconductors N.V.,237.57,2.22,5.1,5.46,-20.56,20.82,7.69
RF Semis,STM,STMicroelectronics N.V.,53.41,3.45,9.87,5.28,-25.62,60.83,94.08
Optical,COHR,Coherent Corp.,310.39,-3.46,14.47,4.52,-19.4,18.86,65.1
Optical,LITE,Lumentum Holdings Inc.,945.67,-0.92,12.22,5.24,14.63,26.96,149.27
Optical,AAOI,"Applied Optoelectronics, Inc.",107.0,-1.54,10.32,-17.29,-28.43,-3.6,194.4
Optical,CIEN,Ciena Corporation,368.56,0.71,13.6,-6.93,-17.98,-13.98,52.93
Optical,FN,Fabrinet,403.8,0.56,3.97,-10.2,-29.89,-31.83,-13.11
Optical,CRDO,Credo Technology Group Holding Ltd,192.56,2.82,25.86,-17.37,-31.51,90.05,29.76
Optical,ALAB,"Astera Labs, Inc.",363.46,6.67,40.09,23.71,-9.52,210.2,111.7
Optical,MTSI,"MACOM Technology Solutions Holdings, Inc.",279.69,0.21,14.74,4.72,-25.89,16.53,60.02
Optical,VIAV,Viavi Solutions Inc.,36.4,0.55,6.22,-6.45,-26.3,0.38,101.66
Optical,NOVT,Novanta Inc.,144.17,7.34,1.96,-1.82,-5.47,23.9,20.25
EDA Software,SNPS,"Synopsys, Inc.",409.24,1.84,8.16,2.14,-11.07,0.98,-14.55
EDA Software,CDNS,"Cadence Design Systems, Inc.",302.95,2.73,9.22,-3.67,-19.36,8.97,-4.04
EDA Software,ARM,Arm Holdings plc,333.2,3.19,37.9,31.46,-10.75,111.76,195.31
EDA Software,KEYS,Keysight Technologies Inc.,347.32,1.55,9.72,8.8,-0.77,20.2,69.17
EDA Software,PDFS,"PDF Solutions, Inc.",48.44,3.7,11.48,8.02,-20.99,41.47,65.89
PCB and EMS,TTMI,"TTM Technologies, Inc.",127.47,2.78,10.05,10.58,-40.43,22.26,82.44
PCB and EMS,FLEX,Flex Ltd.,114.45,2.54,2.67,1.79,-24.6,67.06,86.28
PCB and EMS,CLS,"Celestica, Inc.",356.09,3.39,12.09,16.9,1.45,21.63,19.45
PCB and EMS,SANM,Sanmina Corporation,215.77,3.01,8.8,11.69,-12.36,58.85,40.2
PCB and EMS,JBL,Jabil Inc.,308.98,1.75,1.95,-3.61,-16.49,11.52,33.59
PCB and EMS,PLXS,Plexus Corp.,263.33,4.35,8.94,7.98,-8.75,23.27,78.86
PCB and EMS,ROG,Rogers Corporation,137.96,6.25,3.77,8.34,-13.51,27.53,49.13
Connectors,APH,Amphenol Corporation,82.84,2.63,5.56,5.87,5.3,32.28,20.83
Connectors,TEL,TE Connectivity plc,213.48,1.65,4.52,6.61,6.21,3.81,-7.34
Connectors,FN,Fabrinet,403.8,0.56,3.97,-10.2,-29.89,-31.83,-13.11
Connectors,GLW,Corning Incorporated,159.69,0.45,9.9,3.8,-17.86,12.14,79.61
Connectors,BDC,Belden Inc,113.02,2.23,-1.2,-9.79,-4.62,-3.54,-2.83
Connectors,LFUS,"Littelfuse, Inc.",418.88,2.28,4.72,1.1,-10.3,21.21,64.85
Connectors,ITT,ITT Inc.,208.63,1.43,3.76,-0.74,6.18,9.33,19.28
Semi Materials,ENTG,"Entegris, Inc.",151.11,5.57,15.4,3.76,-10.22,25.41,75.38
Semi Materials,MKSI,MKS Inc.,260.37,1.34,7.32,-7.87,-33.33,9.86,58.24
Semi Materials,ASYS,"Amtech Systems, Inc.",15.3,2.14,10.79,4.65,-26.97,29.77,20.57
Semi Materials,UCTT,"Ultra Clean Holdings, Inc.",76.55,4.79,13.07,3.59,-32.25,21.1,192.85
Semi Materials,PLAB,"Photronics, Inc.",30.42,3.68,10.46,-2.31,-4.16,-26.77,-8.07
Semi Materials,AXTI,AXT Inc,77.79,-2.68,34.31,3.14,0.06,19.35,352.27
Semi Materials,ICHR,Ichor Holdings,57.44,2.32,9.43,-4.12,-38.38,16.66,199.32
Robotics,ISRG,"Intuitive Surgical, Inc.",402.09,0.11,7.36,7.19,-0.96,-14.28,-29.06
Robotics,SYM,Symbotic Inc.,45.07,2.53,8.34,7.34,17.06,-13.41,-25.9
Robotics,ROK,"Rockwell Automation, Inc.",427.19,0.54,1.57,-1.71,-6.53,19.96,8.98
Robotics,CGNX,Cognex Corporation,58.97,-4.87,-2.63,-2.3,-7.83,16.17,61.87
Robotics,TER,"Teradyne, Inc.",398.69,4.49,18.01,4.42,-5.76,26.58,100.06
Robotics,PATH,"UiPath, Inc.",13.25,-2.5,-7.76,-16.4,30.41,21.67,-19.7
Robotics,ZBRA,Zebra Technologies Corporation,361.61,3.07,2.8,0.09,51.54,76.16,46.8
Robotics,SERV,Serve Robotics Inc.,4.55,2.48,3.41,-5.21,-29.18,-50.22,-57.91
Industrial Automation,ROK,"Rockwell Automation, Inc.",427.19,0.54,1.57,-1.71,-6.53,19.96,8.98
Industrial Automation,EMR,Emerson Electric Company,154.19,1.63,3.75,-1.44,7.64,19.38,15.73
Industrial Automation,HON,Honeywell International Inc.,211.85,2.6,5.2,-3.43,-9.7,-10.05,3.28
Industrial Automation,ETN,"Eaton Corporation, PLC",442.49,1.62,10.96,5.48,9.25,19.35,36.9
Industrial Automation,CGNX,Cognex Corporation,58.97,-4.87,-2.63,-2.3,-7.83,16.17,61.87
Industrial Automation,ZBRA,Zebra Technologies Corporation,361.61,3.07,2.8,0.09,51.54,76.16,46.8
Industrial Automation,IR,Ingersoll Rand Inc.,73.85,2.13,1.81,-7.68,-4.25,-10.66,-7.49
Industrial Automation,PH,Parker-Hannifin Corporation,964.85,0.7,3.23,-4.47,1.83,5.47,9.44
Industrial Automation,ITW,Illinois Tool Works Inc.,270.47,1.1,0.37,-4.8,3.04,2.25,9.66
Humanoid Robots,TSLA,"Tesla, Inc.",378.9,0.96,5.62,8.29,-0.31,-0.71,-17.23
Humanoid Robots,SERV,Serve Robotics Inc.,4.55,2.48,3.41,-5.21,-29.18,-50.22,-57.91
Humanoid Robots,SYM,Symbotic Inc.,45.07,2.53,8.34,7.34,17.06,-13.41,-25.9
Humanoid Robots,RR,Richtech Robotics Inc.,1.73,-0.57,6.79,6.79,-13.93,-20.28,-48.2
Humanoid Robots,PATH,"UiPath, Inc.",13.25,-2.5,-7.76,-16.4,30.41,21.67,-19.7
Humanoid Robots,CGNX,Cognex Corporation,58.97,-4.87,-2.63,-2.3,-7.83,16.17,61.87
Agentic AI,PLTR,Palantir Technologies Inc.,184.99,1.04,8.5,6.33,62.1,20.87,2.04
Agentic AI,PATH,"UiPath, Inc.",13.25,-2.5,-7.76,-16.4,30.41,21.67,-19.7
Agentic AI,NOW,"ServiceNow, Inc.",137.0,-0.49,-1.55,5.15,45.74,33.76,-10.5
Agentic AI,CRM,"Salesforce, Inc.",233.28,-1.33,-9.19,13.47,53.67,28.76,-11.97
Agentic AI,SNOW,Snowflake Inc.,336.59,-0.83,3.6,4.64,47.22,111.14,53.07
Agentic AI,DDOG,"Datadog, Inc.",247.47,0.99,10.45,5.24,13.42,102.2,80.31
Agentic AI,MDB,"MongoDB, Inc.",427.69,5.01,14.74,0.41,34.49,77.27,1.23
Agentic AI,GTLB,GitLab Inc.,48.82,-1.95,0.67,15.55,80.21,140.37,28.54
Agentic AI,AI,"C3.ai, Inc.",10.85,0.09,-1.09,4.03,11.63,32.8,-20.1
Agentic AI,SOUN,"SoundHound AI, Inc.",6.12,-0.81,-3.32,-12.89,-4.38,-3.62,-40.52
Agentic AI,BBAI,"BigBear.ai, Inc.",2.89,-0.34,2.12,-8.25,-22.93,-17.19,-48.39
Agentic AI,ESTC,Elastic N.V.,89.22,-0.55,6.71,4.44,52.77,80.5,18.27
Edge AI,QCOM,QUALCOMM Incorporated,198.27,2.08,9.82,21.7,-2.12,53.95,14.08
Edge AI,ARM,Arm Holdings plc,333.2,3.19,37.9,31.46,-10.75,111.76,195.31
Edge AI,AMBA,"Ambarella, Inc.",67.06,-2.6,2.98,-8.49,2.29,25.72,-7.92
Edge AI,LSCC,Lattice Semiconductor Corporation,122.53,4.51,13.4,3.03,-15.48,23.94,62.25
Edge AI,SYNA,Synaptics Incorporated,97.64,2.39,1.39,-0.9,-26.65,32.27,28.95
Edge AI,CRUS,"Cirrus Logic, Inc.",120.38,0.33,2.12,2.73,-24.02,-15.19,0.1
Edge AI,NXPI,NXP Semiconductors N.V.,237.57,2.22,5.1,5.46,-20.56,20.82,7.69
Edge AI,STM,STMicroelectronics N.V.,53.41,3.45,9.87,5.28,-25.62,60.83,94.08
Edge AI,INTC,Intel Corporation,123.86,1.71,25.33,33.6,-6.9,167.55,227.93
Edge AI,POWI,"Power Integrations, Inc.",51.46,3.94,3.77,-6.91,-37.15,0.78,41.53
Routers,CSCO,"Cisco Systems, Inc.",106.44,-4.5,-4.03,-3.98,-11.72,29.69,38.87
Routers,ANET,"Arista Networks, Inc.",205.19,-0.11,6.93,11.66,26.41,55.69,53.07
Routers,HPE,Hewlett Packard Enterprise Company,61.03,-1.17,9.48,14.5,26.51,138.58,151.36
Routers,NOK,Nokia Corporation Sponsored,10.82,-1.1,10.07,5.56,-21.14,28.2,64.19
Routers,ERIC,Ericsson,9.82,-4.2,-1.31,-3.73,-13.4,-15.05,1.34
Routers,CIEN,Ciena Corporation,368.56,0.71,13.6,-6.93,-17.98,-13.98,52.93
Routers,FFIV,"F5, Inc.",453.33,0.72,10.0,19.43,16.53,52.51,77.2
Routers,EXTR,"Extreme Networks, Inc.",22.11,-2.73,1.61,-0.85,-30.19,44.32,31.45
Routers,CALX,"Calix, Inc",35.15,-0.76,0.89,-12.89,-4.33,-33.36,-34.15
Routers,VIAV,Viavi Solutions Inc.,36.4,0.55,6.22,-6.45,-26.3,0.38,101.66
Neoclouds,CRWV,"CoreWeave, Inc.",86.76,1.56,5.01,-4.02,-16.23,-0.1,17.35
Neoclouds,NBIS,Nebius Group N.V.,236.12,1.43,11.89,4.31,-14.17,108.49,171.45
Neoclouds,IREN,IREN Limited,48.55,2.79,14.1,10.34,-10.25,19.36,24.46
Neoclouds,CORZ,"Core Scientific, Inc.",18.79,2.34,11.58,0.05,-35.47,11.85,27.13
Neoclouds,WULF,TeraWulf Inc.,17.33,-0.69,12.75,3.15,-39.71,4.9,48.06
Neoclouds,APLD,Applied Digital Corporation,28.54,1.24,17.5,-2.36,-36.83,3.31,12.76
Neoclouds,HUT,Hut 8 Corp.,106.61,3.08,18.44,15.37,-11.16,99.27,122.8
Neoclouds,CIFR,Cipher Digital Inc.,19.09,1.01,22.96,8.96,-30.68,23.96,27.52
Neoclouds,GDS,GDS Holdings Limited,33.75,-1.46,11.17,-0.03,6.3,-22.57,-7.53
Hyperscalers,MSFT,Microsoft Corporation,498.0,-0.72,-0.41,3.78,34.03,34.3,2.81
Hyperscalers,AMZN,"Amazon.com, Inc.",254.98,-1.34,1.09,-2.21,9.04,21.07,10.22
Hyperscalers,GOOGL,Alphabet Inc.,351.16,-1.07,1.26,2.51,0.61,21.97,10.81
Hyperscalers,META,"Meta Platforms, Inc.",736.6,-0.63,11.72,34.69,31.09,26.46,11.15
Hyperscalers,ORCL,Oracle Corporation,149.2,0.43,4.0,3.82,-8.17,3.69,-24.44
Hyperscalers,IBM,International Business Machines Corporation,231.38,-0.24,-6.02,-1.0,-11.63,-3.82,-22.24
Data Center REITs,DLR,"Digital Realty Trust, Inc.",185.65,-0.36,3.99,-5.05,-5.76,5.97,20.05
Data Center REITs,EQIX,"Equinix, Inc.",1059.26,0.19,6.18,-3.56,-5.08,10.25,38.26
Data Center REITs,IRM,Iron Mountain Incorporated (Delaware),118.13,1.06,6.32,-4.18,-11.91,18.35,42.33
Data Center Power,VRT,"Vertiv Holdings, LLC",253.46,1.04,4.3,-5.5,-21.71,-7.43,49.56
Data Center Power,ETN,"Eaton Corporation, PLC",442.49,1.62,10.96,5.48,9.25,19.35,36.9
Data Center Power,GEV,GE Vernova Inc.,950.28,0.43,6.83,-2.51,-9.16,3.86,43.72
Data Center Power,PWR,"Quanta Services, Inc.",642.63,0.0,3.03,-3.33,-8.95,14.1,51.22
Data Center Power,HUBB,Hubbell Inc,458.83,0.29,2.64,-3.99,-9.36,-7.57,2.48
Data Center Power,FIX,"Comfort Systems USA, Inc.",1625.13,-0.46,-0.01,-3.84,-15.42,12.35,73.18
Data Center Power,EME,"EMCOR Group, Inc.",756.5,-0.16,-0.11,-4.45,-10.39,0.07,22.71
Data Center Power,POWL,"Powell Industries, Inc.",191.9,2.31,10.29,-4.57,-34.08,0.16,77.69
Data Center Power,MOD,Modine Manufacturing Company,195.96,-0.84,6.5,-4.41,-29.39,-13.83,43.84
Data Center Power,TT,Trane Technologies plc,437.82,1.04,1.88,-3.86,-8.11,1.82,12.01
Cybersecurity,CRWD,"CrowdStrike Holdings, Inc.",250.06,0.28,7.32,30.96,46.99,161.04,111.02
Cybersecurity,PANW,"Palo Alto Networks, Inc.",374.57,0.76,1.67,6.29,29.33,146.04,102.68
Cybersecurity,ZS,"Zscaler, Inc.",210.18,1.47,11.64,19.95,67.54,51.01,-7.3
Cybersecurity,FTNT,"Fortinet, Inc.",174.26,-0.55,3.31,14.72,17.98,122.58,117.91
Cybersecurity,NET,"Cloudflare, Inc.",353.0,0.38,9.59,25.69,58.23,63.43,77.48
Cybersecurity,S,"SentinelOne, Inc.",23.85,0.21,7.09,13.41,57.95,79.46,57.95
Cybersecurity,OKTA,"Okta, Inc.",196.62,2.76,7.33,44.87,65.48,153.08,125.61
Cybersecurity,TENB,"Tenable Holdings, Inc.",35.91,-0.8,5.56,5.8,31.2,99.61,51.52
Cybersecurity,QLYS,"Qualys, Inc.",183.32,1.26,7.77,0.86,62.84,105.12,38.25
Cybersecurity,CHKP,Check Point Software Technologies Ltd.,137.13,2.15,0.74,4.91,10.69,-2.91,-26.17
Cybersecurity,RPD,"Rapid7, Inc.",12.85,3.05,6.02,8.99,90.94,131.12,-15.52
Cybersecurity,GEN,Gen Digital Inc.,27.29,-6.38,-11.85,-3.43,18.09,41.11,0.22
AI Servers,SMCI,"Super Micro Computer, Inc.",41.54,0.83,13.06,11.8,24.19,78.13,38.65
AI Servers,DELL,Dell Technologies Inc.,548.92,-4.59,1.36,24.94,30.15,200.43,327.51
AI Servers,HPE,Hewlett Packard Enterprise Company,61.03,-1.17,9.48,14.5,26.51,138.58,151.36
AI Servers,CLS,"Celestica, Inc.",356.09,3.39,12.09,16.9,1.45,21.63,19.45
AI Servers,FN,Fabrinet,403.8,0.56,3.97,-10.2,-29.89,-31.83,-13.11
AI Servers,JBL,Jabil Inc.,308.98,1.75,1.95,-3.61,-16.49,11.52,33.59
AI Servers,HPQ,HP Inc.,32.04,-2.76,-5.08,8.76,36.57,65.67,42.15
Autonomous Driving,TSLA,"Tesla, Inc.",378.9,0.96,5.62,8.29,-0.31,-0.71,-17.23
Autonomous Driving,GOOGL,Alphabet Inc.,351.16,-1.07,1.26,2.51,0.61,21.97,10.81
Autonomous Driving,GM,General Motors Company,83.45,-0.6,-4.14,-2.73,5.46,9.85,2.51
Autonomous Driving,MBLY,Mobileye Global Inc.,7.68,-3.88,-5.65,-15.6,-3.52,11.3,-26.86
Autonomous Driving,APTV,Aptiv PLC,44.61,2.39,1.02,-6.18,-27.7,-24.81,-31.46
Autonomous Driving,AUR,"Aurora Innovation, Inc.",6.46,-0.77,-1.52,4.87,1.02,51.64,67.36
Drones,AVAV,"AeroVironment, Inc.",156.15,-2.95,2.55,-3.32,5.64,-19.94,-37.15
Drones,KTOS,"Kratos Defense & Security Solutions, Inc.",46.97,-3.33,-3.49,-17.04,-6.4,-40.07,-38.64
Drones,RC,Ready Capital Corporation,1.66,-0.6,1.84,-12.63,-1.19,5.73,-24.55
Drones,EH,EHang Holdings Limited,4.73,0.0,8.49,-14.62,-26.67,-52.7,-65.27
Drones,LMT,Lockheed Martin Corporation,522.34,-2.44,-1.84,-8.6,3.86,-15.72,8.09
Drones,NOC,Northrop Grumman Corporation,509.86,-3.19,-3.67,-9.94,-1.02,-26.07,-10.49
Drones,RTX,RTX Corporation,190.99,-1.72,-2.92,-10.48,1.9,-1.71,4.08
Drones,AXON,"Axon Enterprise, Inc.",459.32,1.61,-1.79,-26.37,6.26,2.48,-19.89
Quantum Computing,IONQ,"IonQ, Inc.",40.74,0.57,12.31,-3.46,-28.96,29.77,-11.45
Quantum Computing,RGTI,"Rigetti Computing, Inc.",16.52,-0.06,9.19,1.26,-20.62,11.85,-26.77
Quantum Computing,QBTS,D-Wave Quantum Inc.,17.56,-0.79,6.04,-8.11,-28.11,11.28,-34.83
Quantum Computing,QUBT,Quantum Computing Inc.,9.08,1.34,16.11,10.19,-11.59,27.71,-13.93
Quantum Computing,IBM,International Business Machines Corporation,231.38,-0.24,-6.02,-1.0,-11.63,-3.82,-22.24
Quantum Computing,HON,Honeywell International Inc.,211.85,2.6,5.2,-3.43,-9.7,-10.05,3.28
Quantum Computing,GOOGL,Alphabet Inc.,351.16,-1.07,1.26,2.51,0.61,21.97,10.81
Quantum Computing,MSFT,Microsoft Corporation,498.0,-0.72,-0.41,3.78,34.03,34.3,2.81
GLP-1,LLY,Eli Lilly and Company,1170.14,0.45,1.17,-5.02,3.61,28.25,8.71
GLP-1,NVO,Novo Nordisk A/S,39.4,-1.01,-7.78,-14.99,-16.35,8.57,-23.66
GLP-1,AMGN,Amgen Inc.,410.24,4.34,7.89,-4.98,17.89,17.1,24.78
GLP-1,VKTX,"Viking Therapeutics, Inc.",40.85,35.67,30.89,17.42,14.65,25.4,14.94
GLP-1,GPCR,Structure Therapeutics Inc.,36.91,0.27,-3.78,-27.2,-19.2,-22.16,-47.1
GLP-1,ALT,"Altimmune, Inc.",3.41,4.28,3.33,14.43,16.78,4.6,-5.8
GLP-1,PFE,"Pfizer, Inc.",27.93,0.68,1.14,0.58,12.64,2.5,11.81
