theme,symbol,description,close,today,1w,1m,3m,6m,ytd
GPUs,NVDA,NVIDIA Corporation,228.87,0.66,7.26,4.78,14.37,29.99,20.56
GPUs,AMD,"Advanced Micro Devices, Inc.",623.77,1.34,24.33,30.91,19.77,186.16,184.96
GPUs,AVGO,Broadcom Inc.,364.54,0.52,5.35,-1.66,-5.71,16.09,3.33
GPUs,MRVL,"Marvell Technology, Inc.",262.36,1.93,18.38,3.95,-6.95,167.82,202.47
GPUs,ARM,Arm Holdings plc,333.2,3.19,37.9,31.46,-10.75,111.76,195.31
GPUs,ALAB,"Astera Labs, Inc.",363.46,6.67,40.09,23.71,-9.52,210.2,111.7
GPUs,CRDO,Credo Technology Group Holding Ltd,192.56,2.82,25.86,-17.37,-31.51,90.05,29.76
GPUs,AMBA,"Ambarella, Inc.",67.06,-2.6,2.98,-8.49,2.29,25.72,-7.92
CPUs,INTC,Intel Corporation,123.86,1.71,25.33,33.6,-6.9,167.55,227.93
CPUs,AMD,"Advanced Micro Devices, Inc.",623.77,1.34,24.33,30.91,19.77,186.16,184.96
CPUs,ARM,Arm Holdings plc,333.2,3.19,37.9,31.46,-10.75,111.76,195.31
CPUs,QCOM,QUALCOMM Incorporated,198.27,2.08,9.82,21.7,-2.12,53.95,14.08
CPUs,AVGO,Broadcom Inc.,364.54,0.52,5.35,-1.66,-5.71,16.09,3.33
CPUs,IBM,International Business Machines Corporation,231.38,-0.24,-6.02,-1.0,-11.63,-3.82,-22.24
Memory,MU,"Micron Technology, Inc.",1096.16,5.0,16.92,10.76,1.29,196.24,271.42
Memory,WDC,Western Digital Corporation,464.6,3.67,7.98,-2.65,-29.44,62.0,162.19
Memory,SNDK,Sandisk Corporation,1887.04,6.82,20.22,17.59,-5.06,188.54,672.27
Memory,STX,Seagate Technology Holdings PLC,919.84,4.85,14.95,6.63,-10.5,129.01,226.22
Memory,SIMO,Silicon Motion Technology Corporation,283.26,5.3,18.28,11.21,-11.67,162.28,199.59
Memory,RMBS,"Rambus, Inc.",105.24,8.54,28.84,13.99,-18.27,12.02,10.29
HBM,MU,"Micron Technology, Inc.",1096.16,5.0,16.92,10.76,1.29,196.24,271.42
HBM,AMKR,"Amkor Technology, Inc.",54.59,4.6,14.21,5.79,-37.6,12.93,32.98
HBM,ASX,"ASE Technology Holding Co., Ltd.",45.2,3.36,19.67,22.99,11.19,104.52,171.15
HBM,FORM,"FormFactor, Inc.",126.01,5.62,19.86,7.07,-11.14,20.55,117.82
HBM,CAMT,Camtek Ltd.,151.36,1.16,11.91,0.83,-9.85,-11.63,36.92
HBM,NVMI,Nova Ltd.,369.95,1.97,8.46,-4.23,-29.85,-21.59,10.1
NAND,SNDK,Sandisk Corporation,1887.04,6.82,20.22,17.59,-5.06,188.54,672.27
NAND,MU,"Micron Technology, Inc.",1096.16,5.0,16.92,10.76,1.29,196.24,271.42
NAND,SIMO,Silicon Motion Technology Corporation,283.26,5.3,18.28,11.21,-11.67,162.28,199.59
MLCC,VSH,"Vishay Intertechnology, Inc.",33.14,1.59,5.36,3.77,-43.36,84.83,123.47
MLCC,KN,Knowles Corporation,36.91,2.5,5.07,7.45,-7.35,41.26,69.94
MLCC,BELFB,Bel Fuse Inc.,249.56,2.51,6.84,-6.17,-14.13,15.05,46.24
MLCC,CTS,CTS Corporation,58.95,0.48,3.28,1.32,-10.16,19.4,36.84
MLCC,VPG,"Vishay Precision Group, Inc.",69.91,7.64,12.78,10.41,-47.66,58.2,80.18
MLCC,LFUS,"Littelfuse, Inc.",418.88,2.28,4.72,1.1,-10.3,21.21,64.85
Semi Testing,TER,"Teradyne, Inc.",398.69,4.49,18.01,4.42,-5.76,26.58,100.06
Semi Testing,KLAC,KLA Corporation,188.32,2.36,9.49,-0.59,-22.22,25.22,49.49
Semi Testing,ONTO,Onto Innovation Inc.,283.81,2.84,11.3,-6.33,-10.19,31.91,74.54
Semi Testing,COHU,"Cohu, Inc.",64.54,6.48,26.38,16.69,-1.56,107.93,169.59
Semi Testing,FORM,"FormFactor, Inc.",126.01,5.62,19.86,7.07,-11.14,20.55,117.82
Semi Testing,AEHR,Aehr Test Systems,100.6,3.79,17.02,-7.28,-1.96,170.07,378.59
Semi Testing,CAMT,Camtek Ltd.,151.36,1.16,11.91,0.83,-9.85,-11.63,36.92
Semi Testing,NVMI,Nova Ltd.,369.95,1.97,8.46,-4.23,-29.85,-21.59,10.1
Semi Equipment,AMAT,"Applied Materials, Inc.",472.46,1.77,9.91,-6.07,-19.27,31.84,76.9
Semi Equipment,LRCX,Lam Research Corporation,310.96,2.87,11.61,-2.17,-15.24,37.75,74.84
Semi Equipment,ASML,ASML Holding N.V. - New York Registry Shares,1747.9,2.14,8.19,-0.88,-0.14,28.82,54.17
Semi Equipment,KLAC,KLA Corporation,188.32,2.36,9.49,-0.59,-22.22,25.22,49.49
Semi Equipment,TER,"Teradyne, Inc.",398.69,4.49,18.01,4.42,-5.76,26.58,100.06
Semi Equipment,ONTO,Onto Innovation Inc.,283.81,2.84,11.3,-6.33,-10.19,31.91,74.54
Semi Equipment,MKSI,MKS Inc.,260.37,1.34,7.32,-7.87,-33.33,9.86,58.24
Semi Equipment,ACLS,"Axcelis Technologies, Inc.",115.74,2.29,7.81,-8.61,-32.8,17.74,41.82
Semi Equipment,CAMT,Camtek Ltd.,151.36,1.16,11.91,0.83,-9.85,-11.63,36.92
