name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,87.43,74.64,68.36,69.68,71.29,80.88,61.44,50.69,76.19,72.33,87.54,82.0,5.54,6.98,6.1,3111893.3,2467891.9,215767789.0,171970111.0,1.2,-4.14,7929305377.786463,29.95,21,-2.06,235,400.17,2,142.69,3.24,27.9,2.99,0.91,89.0,0.493,34.53,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,2026-10-28,False,True,3,"LoD>60% ATR, thin RVOL, large gap",EMA,6,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,True,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.19,38.21,38.28,36.93,30.96,25.24,21.14,,37.5,36.84,38.0,35.27,7.4,7.26,2.63,1925230.6,1536011.3333333333,55588250.0,56721827.0,1.02,0.0,2307431286.393806,6.76,127,135.31,3,244.67,7,128.91,2.33,-5.45,0.24,1.04,35.0,0.186,47.35,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,2026-12-02,False,False,4,"thin RVOL, below 200-MA",near21,3,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,12.19,11.45,11.11,11.35,10.71,9.3,7.37,6.77,11.43,11.27,12.3,11.5,6.28,6.84,0.83,2677444.5,2705511.6666666665,32980187.0,30709812.0,0.86,1.58,1475188118.3543565,13.82,74,30.58,89,317.47,4,120.62,2.02,9.77,1.2,0.96,82.7,0.219,38.35,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,2026-11-11,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21",7,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,14.3,13.17,13.65,15.12,14.98,12.31,9.48,8.28,13.55,13.98,14.38,13.52,5.16,6.69,0.96,1956629.2,2442231.8,34923915.0,36929394.0,2.28,0.81,885170046.2647059,-11.78,336,20.37,119,300.56,5,103.05,-0.68,4.73,0.34,0.89,81.0,0.242,46.81,False,False,False,True,False,True,True,False,False,True,False,False,True,True,True,False,2026-11-11,False,False,5,LoD>60% ATR,"near21, RVOL",4,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,58.4,51.88,49.72,50.2,52.45,55.45,42.83,35.69,52.04,50.96,60.3,53.72,7.62,7.55,4.41,1108437.5,836110.5333333333,48828855.0,41974560.0,1.84,0.72,1879358023.2001472,19.55,45,11.52,166,245.77,6,92.28,1.5,17.46,1.93,1.49,106.1,0.292,33.83,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,2026-10-29,False,False,5,LoD>60% ATR,"EMA, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:BAND&interval=D,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.27,1.34,1.21,1.01,0.89,0.94,0.93,1.04,1.3,1.19,1.31,1.26,16.99,12.31,0.16,28160059.9,65034968.4,82594410.0,65500836.0,0.29,0.0,237671259.2846154,101.81,2,74.24,24,88.15,69,88.06,3.49,5.37,0.54,0.32,6.4,1.133,35.2,False,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"near21, ADR",6,https://www.tradingview.com/chart/?symbol=NASDAQ:GPRO&interval=D,True,False,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.97,2.63,2.62,2.58,2.53,2.18,1.87,1.81,2.71,2.63,2.98,2.86,5.35,5.62,0.17,29712051.100000035,23185750.933333334,68861680.0,59904252.0,1.04,1.38,2651035800.7370243,17.86,50,41.43,65,200.0,12,86.43,3.13,13.32,2.28,0.66,62.9,0.208,27.33,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,2026-11-11,False,False,4,"LoD>60% ATR, thin RVOL","EMA, ADR",7,https://www.tradingview.com/chart/?symbol=NYSE:AMC&interval=D,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,548.92,553.09,516.12,497.64,467.98,408.56,327.78,276.76,549.9,523.44,574.6,547.71,5.93,5.88,32.29,9835788.399999997,8881444.633333333,4875202588.0,4419768028.0,1.02,-0.96,349010338200.6445,24.94,29,30.15,92,200.43,11,85.17,2.94,6.36,0.83,0.83,3.7,0.364,50.34,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-12-01,False,False,6,,near21,5,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,117.5,113.43,114.2,115.13,109.23,90.51,73.29,68.73,113.78,113.44,119.0,113.09,4.57,4.4,5.16,2616979.6,1405268.3333333333,165126056.0,161785967.0,0.31,0.18,12702102295.745165,-3.27,217,45.86,61,203.16,10,81.92,1.72,2.89,0.82,1.14,85.5,0.112,38.7,True,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,2026-11-04,False,False,5,LoD>60% ATR,"EMA, near21",7,https://www.tradingview.com/chart/?symbol=NASDAQ:CORT&interval=D,False,False,True
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,250.06,232.54,221.69,217.38,209.57,187.14,159.11,148.17,236.04,225.55,250.8,244.7,4.68,5.12,12.81,12840868.9,11175624.1,2794576562.0,2429383243.0,0.7,-0.46,256045145969.05548,30.96,19,46.99,60,161.04,22,79.66,3.77,12.79,2.12,0.48,41.8,0.341,33.74,True,True,True,True,False,False,True,True,False,True,False,True,False,True,False,False,2026-12-01,False,False,6,,"EMA, ADR",8,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,True,False,True
