name,close,SMA5,SMA10,SMA20,SMA30,sma5_gt_sma10,sma20_gt_sma30,sma20_30_gap_pct,cross_days_ago,signal,tradingview_url,description,exchange,industry,Perf.1M,Perf.3M,Perf.6M
ALAB,360.51,345.684,309.196,300.184,299.5557,True,True,0.21,0,20x30_TODAY,https://www.tradingview.com/chart/?symbol=NASDAQ:ALAB&interval=D,"Astera Labs, Inc.",NASDAQ,Semiconductors,26.078897670840032,-5.736697607530396,224.78378378378378
SEI,70.1,69.1,66.4022,60.5238,59.8325,True,True,1.155,1,20x30_1D,https://www.tradingview.com/chart/?symbol=NYSE:SEI&interval=D,"Solaris Energy Infrastructure, Inc.",NYSE,Oilfield Services/Equipment,29.02632063316767,-9.173360974345702,17.420435510887756
TWLO,299.66,269.3,251.79,242.1525,238.3873,True,True,1.579,1,20x30_1D,https://www.tradingview.com/chart/?symbol=NYSE:TWLO&interval=D,Twilio Inc.,NYSE,Packaged Software,35.07324768988056,59.28347419337694,141.0004825478527
FIVN,36.66,35.664,33.808,33.4925,33.1665,True,True,0.983,2,20x30_2D,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,"Five9, Inc.",NASDAQ,Packaged Software,12.350597609561735,85.15151515151513,148.0378890392422
SAIL,22.12,21.01,20.27,19.615,19.339,True,True,1.427,2,20x30_2D,https://www.tradingview.com/chart/?symbol=NASDAQ:SAIL&interval=D,"SailPoint, Inc.",NASDAQ,Packaged Software,21.806167400881062,75.55555555555557,84.33333333333334
NTSK,18.57,18.048,17.18,15.8065,15.4957,True,True,2.006,2,20x30_2D,https://www.tradingview.com/chart/?symbol=NASDAQ:NTSK&interval=D,"Netskope, Inc.",NASDAQ,Packaged Software,31.702127659574472,91.44329896907219,123.73493975903614
INTC,127.39,120.846,111.135,102.997,100.172,True,True,2.82,2,20x30_2D,https://www.tradingview.com/chart/?symbol=NASDAQ:INTC&interval=D,Intel Corporation,NASDAQ,Semiconductors,41.450144348212305,-1.021716328036993,192.04493351673548
