name,close,SMA5,SMA10,SMA20,SMA30,sma5_gt_sma10,sma20_gt_sma30,sma20_30_gap_pct,cross_days_ago,signal,tradingview_url,description,exchange,industry,Perf.1M,Perf.3M,Perf.6M
SEI,67.43,68.0,66.1459,59.6581,59.4517,True,True,0.347,0,20x30_TODAY,https://www.tradingview.com/chart/?symbol=NYSE:SEI&interval=D,"Solaris Energy Infrastructure, Inc.",NYSE,Oilfield Services/Equipment,27.226415094339636,-13.628794671448684,12.948073701842553
FIVN,37.68,35.148,33.179,33.2738,33.0322,True,True,0.731,1,20x30_1D,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,"Five9, Inc.",NASDAQ,Packaged Software,14.84303565985979,93.72750642673522,154.93910690121785
NTSK,18.57,17.792,16.769,15.553,15.3897,True,True,1.061,1,20x30_1D,https://www.tradingview.com/chart/?symbol=NASDAQ:NTSK&interval=D,"Netskope, Inc.",NASDAQ,Packaged Software,28.245856353591158,96.09292502639914,123.73493975903614
INTC,122.6,117.128,108.428,101.0395,99.2907,True,True,1.761,1,20x30_1D,https://www.tradingview.com/chart/?symbol=NASDAQ:INTC&interval=D,Intel Corporation,NASDAQ,Semiconductors,37.96984019806437,-12.259357331997421,181.06373223292067
FTFT,4.44,5.542,4.851,3.429,3.3247,True,True,3.138,1,20x30_1D,https://www.tradingview.com/chart/?symbol=NASDAQ:FTFT&interval=D,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,66.14279299506063,-59.010339734121125,-77.3469387755102
CRWD,262.49,247.31,233.782,222.316,217.7967,True,True,2.075,2,20x30_2D,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,38.50253271422541,54.31964490431819,183.12255628960494
MRVL,260.9,253.13,239.894,231.1725,231.0017,True,True,0.074,,20x30_NEAR,https://www.tradingview.com/chart/?symbol=NASDAQ:MRVL&interval=D,"Marvell Technology, Inc.",NASDAQ,Semiconductors,13.820783526742858,-10.3975272602387,164.1222919619356
