name,close,rs,rs_new_high_d,price_new_high_d,rs_lead_d,rs_new_high_w,price_new_high_w,rs_lead_w,pct_below_price_high,lookback_price_high,signal,is_rs_lead,tradingview_url,description,exchange,industry,Perf.1M,Perf.3M,Perf.6M
QMCO,29.49,0.038439,True,False,True,True,False,True,8.07,32.08,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:QMCO&interval=D,Quantum Corporation,NASDAQ,Computer Peripherals,34.657534246575345,162.36654804270464,479.3713163064833
P,121.88,0.158868,True,False,True,True,False,True,7.25,131.4,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:P&interval=D,"Everpure, Inc.",NYSE,Computer Peripherals,18.675754625121705,74.11428571428571,98.7930190833469
HPE,63.52,0.082797,True,False,True,True,False,True,2.99,65.4798,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:HPE&interval=D,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,18.50746268656717,40.4843525378746,155.40812223562526
OKTA,206.64,0.26935,True,False,True,True,False,True,2.76,212.5,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:OKTA&interval=D,"Okta, Inc.",NASDAQ,Packaged Software,57.17654217692249,73.15233785822019,171.00327868852457
CDNA,61.37,0.079994,True,False,True,True,False,True,2.73,63.09,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:CDNA&interval=D,"CareDx, Inc.",NASDAQ,Medical Specialties,27.50883025140244,120.35906642728902,253.921568627451
RNG,79.82,0.104043,True,False,True,True,False,True,2.54,81.9,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:RNG&interval=D,"RingCentral, Inc.",NYSE,Packaged Software,18.33951074870273,128.90737023229138,119.07506518457524
NET,358.82,0.467713,True,False,True,True,False,True,2.34,367.43,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:NET&interval=D,"Cloudflare, Inc.",NYSE,Information Technology Services,25.628457390939005,58.8542588985302,75.03414634146341
TWLO,299.66,0.390599,True,False,True,True,False,True,1.64,304.65,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:TWLO&interval=D,Twilio Inc.,NYSE,Packaged Software,35.07324768988056,59.28347419337694,141.0004825478527
ILMN,273.9,0.357022,True,False,True,True,False,True,1.46,277.95,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:ILMN&interval=D,"Illumina, Inc.",NASDAQ,Medical Specialties,22.276785714285705,55.56754607673302,122.68292682926828
USDE,14.22,0.018535,True,False,True,False,False,False,8.2,15.4899,LEAD_D,True,https://www.tradingview.com/chart/?symbol=NASDAQ:USDE&interval=D,StablecoinX Inc.,NASDAQ,Packaged Software,159.963436928702,90.61662198391423,38.73170731707317
FIVN,36.66,0.047785,False,False,False,True,False,True,8.35,40.0,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,"Five9, Inc.",NASDAQ,Packaged Software,12.350597609561735,85.15151515151513,148.0378890392422
AMRX,19.805,0.025815,False,False,False,True,False,True,6.47,21.175,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:AMRX&interval=D,"Amneal Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,11.389201349831263,14.645441389290891,64.90424646128227
SDGR,29.45,0.038387,False,False,False,True,False,True,5.43,31.14,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:SDGR&interval=D,"Schrodinger, Inc.",NASDAQ,Packaged Software,55.4089709762533,83.4890965732087,156.08695652173913
OMER,20.13,0.026239,False,False,False,True,False,True,4.01,20.97,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:OMER&interval=D,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,4.084798345398134,165.21739130434784,93.55769230769229
PANW,389.92,0.508251,False,False,False,True,False,True,2.25,398.88,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:PANW&interval=D,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,10.218503547502625,32.10909706928682,164.2629617078956
RBRK,113.8,0.148335,False,False,False,True,False,True,2.0,116.12,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:RBRK&interval=D,"Rubrik, Inc.",NYSE,Information Technology Services,16.146152275974682,60.66638430043767,143.3183664742356
S,23.98,0.031257,False,False,False,True,False,True,1.71,24.398,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NYSE:S&interval=D,"SentinelOne, Inc.",NYSE,Packaged Software,15.510597302504811,60.56243722798794,84.31975403535742
CRWD,259.67,0.338473,False,False,False,True,False,True,1.59,263.86,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,35.51299446821835,51.36694841154182,180.08089524066332
