theme,symbol,description,close,today,1w,1m,3m,6m,ytd
GPUs,NVDA,NVIDIA Corporation,225.51,-1.47,5.31,4.63,12.71,32.65,18.79
GPUs,AMD,"Advanced Micro Devices, Inc.",614.61,-1.47,18.79,31.18,12.99,204.61,180.77
GPUs,AVGO,Broadcom Inc.,354.99,-2.62,3.69,-2.73,-8.17,15.61,0.63
GPUs,MRVL,"Marvell Technology, Inc.",260.9,-0.56,15.07,13.82,-10.4,164.12,200.78
GPUs,ARM,Arm Holdings plc,332.56,-0.19,34.71,40.71,-12.43,119.47,194.74
GPUs,ALAB,"Astera Labs, Inc.",360.46,-0.83,41.23,32.67,-14.7,224.74,109.95
GPUs,CRDO,Credo Technology Group Holding Ltd,193.87,0.68,26.63,-12.98,-32.81,104.07,30.64
GPUs,AMBA,"Ambarella, Inc.",67.62,0.84,3.67,-6.97,2.97,30.41,-7.15
CPUs,INTC,Intel Corporation,122.6,-1.02,20.95,37.97,-12.26,181.06,224.6
CPUs,AMD,"Advanced Micro Devices, Inc.",614.61,-1.47,18.79,31.18,12.99,204.61,180.77
CPUs,ARM,Arm Holdings plc,332.56,-0.19,34.71,40.71,-12.43,119.47,194.74
CPUs,QCOM,QUALCOMM Incorporated,197.24,-0.52,4.27,23.74,-10.11,51.85,13.49
CPUs,AVGO,Broadcom Inc.,354.99,-2.62,3.69,-2.73,-8.17,15.61,0.63
CPUs,IBM,International Business Machines Corporation,232.76,0.6,-3.22,-0.69,-13.04,-2.55,-21.78
Memory,MU,"Micron Technology, Inc.",1071.88,-2.22,14.73,14.67,-13.07,197.86,263.2
Memory,WDC,Western Digital Corporation,473.69,1.96,12.4,6.13,-35.02,72.31,167.32
Memory,SNDK,Sandisk Corporation,1816.57,-3.73,17.22,21.58,-18.84,202.89,643.43
Memory,STX,Seagate Technology Holdings PLC,923.86,0.44,17.72,12.86,-16.84,144.07,227.64
Memory,SIMO,Silicon Motion Technology Corporation,276.53,-2.38,13.1,10.61,-19.79,155.45,192.47
Memory,RMBS,"Rambus, Inc.",103.47,-1.68,22.57,16.05,-21.64,14.88,8.44
HBM,MU,"Micron Technology, Inc.",1071.88,-2.22,14.73,14.67,-13.07,197.86,263.2
HBM,AMKR,"Amkor Technology, Inc.",53.32,-2.33,11.69,9.28,-39.61,18.86,29.89
HBM,ASX,"ASE Technology Holding Co., Ltd.",43.93,-2.81,15.15,20.03,4.67,102.82,163.53
HBM,FORM,"FormFactor, Inc.",131.26,4.17,25.01,18.65,-13.07,33.25,126.9
HBM,CAMT,Camtek Ltd.,147.06,-2.84,8.64,2.13,-18.09,-5.57,33.03
HBM,NVMI,Nova Ltd.,365.73,-1.14,7.46,-1.69,-33.58,-17.48,8.85
NAND,SNDK,Sandisk Corporation,1816.57,-3.73,17.22,21.58,-18.84,202.89,643.43
NAND,MU,"Micron Technology, Inc.",1071.88,-2.22,14.73,14.67,-13.07,197.86,263.2
NAND,SIMO,Silicon Motion Technology Corporation,276.53,-2.38,13.1,10.61,-19.79,155.45,192.47
MLCC,VSH,"Vishay Intertechnology, Inc.",32.6,-1.63,1.31,5.4,-44.16,89.2,119.82
MLCC,KN,Knowles Corporation,36.73,-0.49,3.41,10.87,-10.7,42.64,69.11
MLCC,BELFB,Bel Fuse Inc.,254.08,1.81,9.07,1.05,-15.9,25.45,48.89
MLCC,CTS,CTS Corporation,59.24,0.49,2.9,3.19,-12.72,23.57,37.51
MLCC,VPG,"Vishay Precision Group, Inc.",69.83,-0.11,12.68,7.43,-49.5,68.18,79.97
MLCC,LFUS,"Littelfuse, Inc.",422.43,0.85,5.13,3.42,-10.89,26.15,66.25
Semi Testing,TER,"Teradyne, Inc.",389.14,-2.4,14.28,8.06,-14.29,32.63,95.26
Semi Testing,KLAC,KLA Corporation,187.86,-0.24,9.53,4.36,-26.37,30.77,49.13
Semi Testing,ONTO,Onto Innovation Inc.,282.31,-0.53,11.86,-0.89,-17.54,39.29,73.62
Semi Testing,COHU,"Cohu, Inc.",64.48,-0.09,25.72,22.66,-3.6,117.18,169.34
Semi Testing,FORM,"FormFactor, Inc.",131.26,4.17,25.01,18.65,-13.07,33.25,126.9
Semi Testing,AEHR,Aehr Test Systems,97.38,-3.2,15.52,1.69,-5.09,183.74,363.27
Semi Testing,CAMT,Camtek Ltd.,147.06,-2.84,8.64,2.13,-18.09,-5.57,33.03
Semi Testing,NVMI,Nova Ltd.,365.73,-1.14,7.46,-1.69,-33.58,-17.48,8.85
Semi Equipment,AMAT,"Applied Materials, Inc.",474.38,0.41,10.39,-1.56,-25.61,40.5,77.62
Semi Equipment,LRCX,Lam Research Corporation,307.28,-1.18,10.88,-0.21,-24.68,46.56,72.77
Semi Equipment,ASML,ASML Holding N.V. - New York Registry Shares,1744.61,-0.19,7.04,-0.96,-5.98,32.32,53.88
Semi Equipment,KLAC,KLA Corporation,187.86,-0.24,9.53,4.36,-26.37,30.77,49.13
Semi Equipment,TER,"Teradyne, Inc.",389.14,-2.4,14.28,8.06,-14.29,32.63,95.26
Semi Equipment,ONTO,Onto Innovation Inc.,282.31,-0.53,11.86,-0.89,-17.54,39.29,73.62
Semi Equipment,MKSI,MKS Inc.,262.72,0.9,10.48,-3.23,-35.61,18.3,59.67
