name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,36.66,34.65,33.83,33.41,31.12,26.77,23.28,22.19,35.34,33.98,37.8,36.47,5.63,5.6,2.05,3018601.7,2083458.3666666667,76379584.0,69618414.0,0.71,-0.45,2739364765.0796175,12.35,85,85.15,16,148.04,29,81.85,3.18,8.38,1.41,0.65,9.3,0.273,33.98,True,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-09,False,False,5,thin RVOL,"EMA, near21, ADR",9,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,False,True,False
PANW,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,389.92,372.35,361.32,361.8,356.11,316.55,265.64,244.34,373.66,365.41,396.3,387.79,4.2,4.59,17.9,7228403.20000001,6447689.366666675,2514083038.0,2332752521.0,0.54,-0.22,318954550100.8106,10.22,101,32.11,84,164.26,23,68.86,2.07,7.91,1.46,0.48,11.9,0.239,32.83,True,True,True,True,False,True,True,True,False,True,False,True,False,True,False,False,2026-11-12,False,False,6,,"EMA, near21, ADR",9,https://www.tradingview.com/chart/?symbol=NASDAQ:PANW&interval=D,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1753.62,1686.63,1649.15,1626.79,1509.42,1615.82,1331.52,1100.15,1725.64,1662.6,1802.99,1726.39,5.49,6.54,114.62,9883003.0,12058807.633333333,21146566242.0,19617109484.0,0.83,-1.71,256763290319.92664,14.34,76,-19.19,333,192.39,15,62.51,2.48,6.34,0.84,0.67,23.8,0.294,33.44,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-11-05,False,False,6,,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NASDAQ:SNDK&interval=D,False,False,True
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,97.42,92.03,88.52,96.51,94.42,94.43,81.24,67.3,93.94,93.12,99.92,93.11,7.33,8.92,8.69,2329296.7,2676748.0,260768790.0,258336518.0,0.68,-2.65,3181692871.799137,-4.34,222,2.01,196,183.86,19,60.51,0.36,10.06,0.52,0.78,49.6,0.34,27.84,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,2026-10-06,False,True,4,"thin RVOL, large gap","EMA, near21",8,https://www.tradingview.com/chart/?symbol=NASDAQ:AEHR&interval=D,False,False,True
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,68.92,65.19,61.94,61.68,64.14,69.99,56.61,50.16,66.1,64.09,70.32,66.85,5.08,5.72,3.94,698868.6,522111.6,35983931.0,32203321.0,0.56,-2.43,1666798153.6455953,16.99,61,-14.33,306,185.15,18,62.6,1.3,11.27,1.32,0.88,52.5,0.306,28.76,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,2026-11-05,False,True,4,"thin RVOL, large gap","EMA, near21",7,https://www.tradingview.com/chart/?symbol=NYSE:AMBQ&interval=D,False,False,True
