name,close,rs,rs_new_high_d,price_new_high_d,rs_lead_d,rs_new_high_w,price_new_high_w,rs_lead_w,pct_below_price_high,lookback_price_high,signal,is_rs_lead,tradingview_url,description,exchange,industry,Perf.1M,Perf.3M,Perf.6M
QMCO,25.97,0.033823,True,False,True,True,False,True,10.91,29.15,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:QMCO&interval=D,Quantum Corporation,NASDAQ,Computer Peripherals,21.867667761614268,85.5,410.21611001964635
FIVN,37.68,0.049075,True,False,True,True,False,True,5.8,40.0,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,"Five9, Inc.",NASDAQ,Packaged Software,14.84303565985979,93.72750642673522,154.93910690121785
NET,352.33,0.458877,True,False,True,True,False,True,3.26,364.21,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:NET&interval=D,"Cloudflare, Inc.",NYSE,Information Technology Services,22.04018011776931,59.14449613803695,71.86829268292682
RNG,79.23,0.10319,True,False,True,True,False,True,3.26,81.9016,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:RNG&interval=D,"RingCentral, Inc.",NYSE,Packaged Software,19.053343350864022,126.04850213980032,117.45574310415809
PANW,393.3,0.512236,True,False,True,True,False,True,1.4,398.88,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:PANW&interval=D,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,10.458911419423695,36.08525656551677,166.55371060657404
OMER,20.74,0.027012,True,False,True,True,False,True,1.1,20.97,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:OMER&interval=D,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,8.586387434554958,95.47596606974552,99.42307692307689
OKTA,205.36,0.267462,True,False,True,True,False,True,0.89,207.2,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:OKTA&interval=D,"Okta, Inc.",NASDAQ,Packaged Software,53.01393338797408,72.94930099376792,169.32459016393446
S,24.1,0.031388,True,False,True,True,False,True,0.82,24.3,LEAD_D_W,True,https://www.tradingview.com/chart/?symbol=NYSE:S&interval=D,"SentinelOne, Inc.",NYSE,Packaged Software,14.434947768281116,60.23936170212768,85.2421214450423
SMCIP,69.34,0.090309,True,False,True,False,False,False,2.21,70.91,LEAD_D,True,https://www.tradingview.com/chart/?symbol=NASDAQ:SMCIP&interval=D,"Super Micro Computer, Inc. - Depositary Shares Each Representing a 1/20th Interest in a Share of 7% Series A Mandatory Convertible Preferred Stock",NASDAQ,Computer Processing Hardware,11.62266580811334,23.35883294787405,36.63054187192119
AMRX,19.33,0.025175,False,False,False,True,False,True,8.71,21.175,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:AMRX&interval=D,"Amneal Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,8.534531162268387,11.155836687751568,60.949208992506236
TEAM,195.08,0.254073,False,False,False,True,False,True,1.77,198.6,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:TEAM&interval=D,Atlassian Corporation,NASDAQ,Packaged Software,15.22740696987596,146.4687302590019,191.120728249515
SWKS,91.45,0.119105,False,False,False,True,False,True,1.45,92.7999,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:SWKS&interval=D,"Skyworks Solutions, Inc.",NASDAQ,Semiconductors,37.29169794325177,24.846416382252563,62.983425414364646
QRVO,119.59,0.155755,False,False,False,True,False,True,1.24,121.09,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:QRVO&interval=D,"Qorvo, Inc.",NASDAQ,Semiconductors,25.76506467557051,21.398842757080498,49.375468398700974
XMTR,105.01,0.136766,False,False,False,True,False,True,1.01,106.08,LEAD_W,True,https://www.tradingview.com/chart/?symbol=NASDAQ:XMTR&interval=D,"Xometry, Inc.",NASDAQ,Information Technology Services,23.934851882450136,13.684096568149831,161.54420921544215
RBRK,115.57,0.150519,True,True,False,True,True,False,0.46,116.1,RS_D_W,False,https://www.tradingview.com/chart/?symbol=NYSE:RBRK&interval=D,"Rubrik, Inc.",NYSE,Information Technology Services,16.18578465869106,61.01706722396376,147.10284370322853
ILMN,255.38,0.332608,True,True,False,True,True,False,0.31,256.17,RS_D_W,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ILMN&interval=D,"Illumina, Inc.",NASDAQ,Medical Specialties,18.24242985461617,43.27872531418311,107.6260162601626
CRWD,262.49,0.341868,True,True,False,True,True,False,0.27,263.19,RS_D_W,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,38.50253271422541,54.31964490431819,183.12255628960494
